Strains,Replicate,N0,r,a11
253,23,1980,0.32515324357586006,-1.0083123434358054e-07
253,24,2010,0.32032698522084524,-8.39074826966485e-08
253,25,1920,0.3262847768852093,-9.26814993869888e-08
253,26,1870,0.3295857571923754,-1.048563433787233e-07
253,27,1890,0.32990268435418324,-9.90080909855513e-08
253,28,1930,0.3224364034085967,-8.601886030303623e-08
253,29,1980,0.3188543098794122,-8.323029872605124e-08
253,30,2240,0.32953186994036276,-1.0825635915717537e-07
253,31,1890,0.3337810036661426,-1.0256206245554464e-07
253,32,2030,0.3405462759990425,-1.1108787846526013e-07
253,33,2030,0.34837242873826024,-1.1364966921461896e-07
253,34,1970,0.342669658125928,-1.014880168214916e-07
253,35,1930,0.31896575391907844,-1.0305072579904689e-07
253,36,2240,0.32252226359751035,-9.17220982769173e-08
253,37,2040,0.32558528385408225,-8.84455703838195e-08
253,38,1930,0.3159625479887712,-8.822263469699659e-08
253,39,1980,0.33584378946012294,-1.215861492128011e-07
253,40,2050,0.34832240049526964,-1.0267084752370765e-07
253,41,2040,0.3339497690330746,-1.0413952794928577e-07
253,42,1870,0.3464138914829801,-1.1835382049557433e-07
253,43,2090,0.33615882522292106,-1.0183884292521524e-07
253,44,1960,0.3537233879742553,-1.0249200299788841e-07
253,45,2090,0.3238432526104902,-9.545794594829875e-08
253,46,2070,0.3229179044911724,-9.38461154335267e-08
253,47,1870,0.32897139864549996,-8.795847399494652e-08
253,48,2020,0.3304005981726187,-9.83793292761229e-08
253,49,1980,0.3106334044303296,-9.970933557994954e-08
163,0,2350,0.38252020202749404,-2.875494473363381e-08
163,1,2350,0.37478688401005855,-2.6963538091157938e-08
163,2,2500,0.3748206727633202,-2.7159520817550555e-08
163,3,2670,0.3798319574187168,-3.1178477199468907e-08
163,4,2600,0.3725960983655251,-3.0468930094598774e-08
163,5,2400,0.37081939165580957,-2.891025805948534e-08
163,6,2670,0.3812333030944238,-2.8141829960326664e-08
163,7,2530,0.3711614866679426,-3.018884478922436e-08
163,8,2530,0.3773448865724264,-2.9502106099635952e-08
163,9,2520,0.3733397840530538,-2.8442632580801314e-08
163,10,2400,0.36973521897168293,-3.108544127434996e-08
163,11,2540,0.3674169690021676,-2.8881827329572448e-08
163,12,2610,0.3711743503007958,-2.7289610206269397e-08
163,13,2520,0.3670566864838578,-2.9776598169252535e-08
163,14,2610,0.373311086879919,-2.7588994519369016e-08
163,15,2580,0.37490807162403383,-2.770401978546239e-08
163,16,2470,0.3824457009127423,-2.9633364041049534e-08
163,17,2470,0.3676896794140173,-2.6630084462066757e-08
163,18,2470,0.37152138841401294,-2.6452240010998625e-08
163,19,2530,0.37064849803812094,-3.074411421072052e-08
163,20,2530,0.386471794993982,-3.34761877819589e-08
163,21,2660,0.37962331063777355,-2.8438639303509522e-08
163,22,2610,0.3658482853573548,-2.9598898435195076e-08
163,23,2580,0.3635760968525399,-2.792455294759383e-08
163,24,2450,0.3754027778414545,-2.860142207094455e-08
163,25,2530,0.37031054798541263,-2.6181341072734727e-08
163,26,2350,0.36958192895746556,-2.750361534895893e-08
163,27,2360,0.38333735864299956,-2.9394068801378712e-08
163,28,2540,0.3864019159579324,-2.734003708466028e-08
163,29,2630,0.37671460893995623,-3.2844262060777873e-08
163,30,2500,0.38824657303153354,-3.3997457988841046e-08
163,31,2680,0.377376994435511,-3.0309743599182913e-08
163,32,2450,0.37948973532202024,-3.003297070696475e-08
163,33,2610,0.38175363334185397,-3.015005754968029e-08
163,34,2540,0.39378158232800176,-3.11004072816003e-08
163,35,2650,0.3724336195621635,-3.1297809557858654e-08
163,36,2660,0.36942317893042764,-2.8911502346577905e-08
163,37,2540,0.3774510886579492,-2.5676128148795286e-08
163,38,2400,0.3786722012589865,-3.349429939013948e-08
163,39,2580,0.38620113946716306,-2.9562462937472937e-08
163,40,2680,0.38596601253711604,-3.084455162678244e-08
163,41,2420,0.37295865335806666,-3.362251579979106e-08
163,42,2480,0.3852739619432072,-3.145675871233831e-08
163,43,2630,0.3687165014235806,-2.714474991089971e-08
163,44,2610,0.3738449727791672,-2.5953790958429898e-08
163,45,2480,0.3798390552100631,-2.721397635406001e-08
163,46,2820,0.37241212849484706,-3.016323829928357e-08
163,47,2530,0.38436094847304847,-2.8251780228616105e-08
163,48,2530,0.3737232250666763,-2.67921744085026e-08
163,49,2520,0.3823866295148405,-3.203178557444247e-08
228,0,830,0.30422369161829366,-8.900905003380652e-08
228,1,730,0.3116299582416704,-8.73081713211886e-08
228,2,730,0.3157722781234159,-9.683796728488444e-08
228,3,730,0.3036922474483519,-7.860144309987921e-08
228,4,750,0.29531816379862663,-8.071126303595909e-08
228,5,800,0.30853828426360497,-9.700330559211374e-08
228,6,720,0.3074189009272781,-9.555776655741651e-08
228,7,730,0.3063514423822379,-9.932767596399111e-08
228,8,720,0.3083801481046914,-9.683923306275278e-08
228,9,730,0.2914404318236813,-8.771758700390239e-08
228,10,760,0.3050499096543021,-8.424240937929481e-08
228,11,890,0.2961773381121128,-7.70778987429312e-08
228,12,730,0.3107912139557689,-8.087955536752064e-08
228,13,700,0.3110927188474891,-9.159300074147303e-08
228,14,720,0.30607564427659517,-9.186951443280887e-08
228,15,890,0.3014433626332109,-9.875303163252828e-08
228,16,730,0.3063908594385628,-7.764154182004972e-08
228,17,770,0.2936570774743249,-8.929598221145743e-08
228,18,730,0.30992835408691655,-9.580868505164555e-08
228,19,780,0.29888588787499515,-7.938440922113061e-08
228,20,830,0.29056893162019615,-9.22724497395909e-08
228,21,690,0.31565016607519514,-9.611062505748043e-08
228,22,780,0.2952539623049273,-8.675397698702647e-08
228,23,780,0.30549675443371593,-9.001238665547884e-08
228,24,690,0.29504692898683205,-8.30986386105918e-08
228,25,730,0.30767675650771886,-8.348007327905791e-08
228,26,690,0.3098761063241863,-8.351730877790643e-08
228,27,750,0.30044107555743294,-8.32999313048461e-08
228,28,750,0.2988695208354898,-7.466725803738768e-08
228,29,690,0.29742199363273725,-9.16384463716468e-08
228,30,700,0.2976099223614297,-8.805317485525794e-08
228,31,720,0.29141054157432367,-8.526247729635067e-08
228,32,780,0.2931226666272092,-7.796943864460863e-08
228,33,730,0.29807073597699796,-1.0064592774406868e-07
228,34,780,0.307800746010653,-9.302882552157752e-08
228,35,650,0.29764674276842573,-7.823189415505916e-08
228,36,830,0.2982333826779481,-1.0058959419419257e-07
228,37,770,0.29794447155466297,-9.49652011987656e-08
228,38,700,0.3047558202424214,-7.851238167816126e-08
228,39,670,0.3071137376441331,-8.631156327227563e-08
228,40,720,0.3158507837778072,-9.131486275868882e-08
228,41,750,0.3085762564927793,-8.564688270280877e-08
228,42,670,0.30334473231025316,-8.208659976221665e-08
228,43,820,0.2903654358407156,-8.767339090010448e-08
228,44,720,0.3134093943935792,-1.0611792081550998e-07
228,45,750,0.30294066091973815,-8.041985244332548e-08
228,46,830,0.3185676516776901,-9.207407862287155e-08
228,47,820,0.30666085231775164,-8.354728755338213e-08
228,48,700,0.3026066576813419,-7.94314022423364e-08
228,49,790,0.3143462853936172,-9.422034052903697e-08
177,0,2170,0.3060475451752358,-9.380889348309416e-08
177,1,2260,0.3068731579236006,-9.39334543180236e-08
177,2,2210,0.3048062815393391,-9.309538083799213e-08
177,3,2150,0.3072966924471745,-9.93224387170531e-08
177,4,1950,0.30042809014045857,-9.198524390589454e-08
177,5,2150,0.30841435345892776,-9.020401890376038e-08
177,6,2010,0.3007792482133318,-9.402847271156212e-08
177,7,2170,0.2993088238528051,-8.51307890736125e-08
177,8,2180,0.312348594590254,-1.0198345306083554e-07
177,9,2160,0.30431675672262526,-1.0012816746069455e-07
177,10,2290,0.3118979871267109,-1.001207233823627e-07
177,11,2060,0.3120589433513524,-9.058767403219104e-08
177,12,2010,0.3150028216396975,-1.0466261555225245e-07
177,13,2290,0.3088749693438828,-1.0278052285583002e-07
177,14,1950,0.3090380594896518,-1.0803178097917879e-07
177,15,2010,0.3111964118834172,-1.0148252223337473e-07
177,16,1980,0.3104212731803334,-9.709828496365418e-08
177,17,2320,0.31572583380541874,-1.0613553892641989e-07
177,18,2210,0.2938157485270281,-8.836075713732003e-08
177,19,2160,0.29804220127195646,-9.286355934241644e-08
177,20,2130,0.3125864141803236,-1.0119208910285127e-07
177,21,1890,0.3181387245971452,-1.0714664269890418e-07
177,22,2180,0.31515748165318325,-9.315816173460822e-08
177,23,2320,0.2973334371607731,-1.0001677826099187e-07
177,24,2320,0.30818726746905145,-1.0787239529381331e-07
177,25,2000,0.3159675555707896,-1.0147251789052686e-07
177,26,2140,0.30020511455976695,-9.630030311544376e-08
177,27,2040,0.3149179229547673,-9.858194676560184e-08
177,28,2070,0.318414638738437,-9.52746568552163e-08
177,29,2010,0.30804122133423506,-8.595767787110308e-08
177,30,1980,0.30267412220273593,-9.967656866539439e-08
177,31,1980,0.30117696490830037,-9.318280037913283e-08
177,32,1980,0.31443412727256126,-1.0476150994133866e-07
177,33,2260,0.32266949092260766,-9.622475835441071e-08
177,34,2140,0.2973023681612803,-1.0103579938689915e-07
177,35,2070,0.3100170004576178,-9.237846361223267e-08
177,36,1890,0.32352578772342067,-1.018045478502098e-07
177,37,2010,0.30896188647416256,-1.084282550302243e-07
177,38,2190,0.31037786074880713,-1.062969197707443e-07
177,39,2060,0.3124337073118716,-9.781637279935095e-08
177,40,1890,0.32170158804179394,-1.0903081667431122e-07
177,41,2170,0.32494787301667605,-1.1047826365205899e-07
177,42,2050,0.3126825809353032,-1.0171777826024209e-07
177,43,1950,0.3025818826081359,-8.922119035134869e-08
177,44,1890,0.3234369166307497,-9.845146047369231e-08
177,45,1970,0.31679633373802574,-1.0239139646127714e-07
177,46,1910,0.3191060213348129,-9.847364811947572e-08
177,47,2010,0.3201714369302543,-1.0590097615150956e-07
177,48,1890,0.2993404828163492,-9.765358680356293e-08
177,49,2210,0.3131629037407101,-9.952628515274883e-08
