time,Strain_1,Replicate,CFU_Strain_1,Strain_2,replicate,CFU_Strain_2
18,253,3,400000,228,3,533333.3333
18,253,1,400000,177,1,866666.6667
18,253,2,666666.6667,177,2,1200000
18,253,3,1000000,177,3,1333333.333
18,163,1,333333.3333,228,1,266666.6667
18,163,2,400000,228,2,466666.6667
18,163,3,533333.3333,228,3,533333.3333
18,163,1,600000,177,1,933333.3333
18,163,2,866666.6667,177,2,866666.6667
18,163,3,1000000,177,3,933333.3333
18,228,1,533333.3333,177,1,600000
18,228,2,66666.66667,177,2,1133333.333
18,228,3,466666.6667,177,3,666666.6667
24,17B2,1,0,0092a,1,4000000
24,17B2,2,0,0092a,2,5333333.333
24,17B2,3,0,0092a,3,3333333.333
24,17B2,1,0,232,1,166666.6667
24,17B2,2,0,232,2,140000
24,17B2,3,0,232,3,193333.3333
24,17B2,1,2000,460,1,1200000
24,17B2,2,2000,460,2,1066666.667
24,17B2,3,2000,460,3,800000
24,17B2,1,666.6666667,550,1,153333.3333
24,17B2,2,0,550,2,133333.3333
24,17B2,3,2000,550,3,153333.3333
24,0092a,1,2000000,232,1,533333.3333
24,0092a,2,2333333.333,232,2,533333.3333
24,0092a,3,1800000,232,3,400000
24,0092a,1,3333333.333,460,1,146666.6667
24,0092a,2,2666666.667,460,2,220000
24,0092a,3,6000000,460,3,300000
24,0092a,1,2000000,550,1,666666.6667
24,0092a,2,2666666.667,550,2,666666.6667
24,0092a,3,4666666.667,550,3,66666.66667
24,232,1,266666.6667,460,1,333333.3333
24,232,2,133333.3333,460,2,133333.3333
24,232,3,133333.3333,460,3,333333.3333
24,232,1,200000,550,1,200000
24,232,2,466666.6667,550,2,133333.3333
24,232,3,266666.6667,550,3,133333.3333
24,460,1,0,550,1,0
24,460,2,0,550,2,0
24,460,3,0,550,3,0
24,253,1,1333333.333,163,1,1333333.333
24,253,2,6000000,163,2,3333333.333
24,253,3,3333333.333,163,3,2666666.667
24,253,1,3333333.333,228,1,2000000
24,253,2,666666.6667,228,2,933333.3333
24,253,3,2666666.667,228,3,666666.6667
24,253,1,800000,177,1,2000000
24,253,2,3333333.333,177,2,4000000
24,253,3,666666.6667,177,3,2000000
24,163,1,3333333.333,228,1,666666.6667
24,163,2,2000000,228,2,1333333.333
24,163,3,2000000,228,3,666666.6667
24,163,1,1333333.333,177,1,4000000
24,163,2,2000000,177,2,2000000
24,163,3,2000000,177,3,2000000
24,228,1,333333.3333,177,1,2666666.667
24,228,2,666666.6667,177,2,666666.6667
24,228,3,1333333.333,177,3,1333333.333
30,17B2,1,0,0092a,1,8000000
30,17B2,2,0,0092a,2,6000000
30,17B2,3,0,0092a,3,7333333.333
30,17B2,1,0,232,1,400000
30,17B2,2,0,232,2,200000
30,17B2,3,0,232,3,0
30,17B2,1,20000,460,1,7333333.333
30,17B2,2,60000,460,2,6000000
30,17B2,3,20000,460,3,9333333.333
30,17B2,1,400000,550,1,666666.6667
30,17B2,2,133333.3333,550,2,1133333.333
30,17B2,3,200000,550,3,333333.3333
30,0092a,1,4666666.667,232,1,2000000
30,0092a,2,2666666.667,232,2,666666.6667
30,0092a,3,5333333.333,232,3,1333333.333
30,0092a,1,7333333.333,460,1,266666.6667
30,0092a,2,6000000,460,2,200000
30,0092a,3,4666666.667,460,3,133333.3333
30,0092a,1,3333333.333,550,1,2666666.667
30,0092a,2,4000000,550,2,200000
30,0092a,3,5333333.333,550,3,666666.6667
30,232,1,333333.3333,460,1,10000000
30,232,2,466666.6667,460,2,5333333.333
30,232,3,66666.66667,460,3,6000000
30,232,1,1333333.333,550,1,466666.6667
30,232,2,1200000,550,2,600000
30,232,3,1200000,550,3,733333.3333
30,460,1,1533333.333,550,1,733333.3333
30,460,2,1200000,550,2,866666.6667
30,460,3,733333.3333,550,3,1066666.667
30,253,1,1333333.333,163,1,4000000
30,253,2,666666.6667,163,2,1333333.333
30,253,3,1333333.333,163,3,666666.6667
30,253,1,2666666.667,228,1,666666.6667
30,253,2,666666.6667,228,2,1333333.333
30,253,3,666666.6667,228,3,666666.6667
30,253,1,4666666.667,177,1,2000000
30,253,2,1333333.333,177,2,2666666.667
30,253,3,3333333.333,177,3,3333333.333
30,163,1,3333333.333,228,1,2000000
30,163,2,4000000,228,2,3333333.333
30,163,3,1333333.333,228,3,2666666.667
30,163,1,3333333.333,177,1,3333333.333
30,163,2,2666666.667,177,2,4000000
30,163,3,2666666.667,177,3,2000000
30,228,1,2666666.667,177,1,2666666.667
30,228,2,2000000,177,2,1333333.333
30,228,3,666666.6667,177,3,2000000
42,17B2,1,0,0092a,1,6000000
42,17B2,2,0,0092a,2,6666666.667
42,17B2,3,666666.6667,0092a,3,6666666.667
42,17B2,1,66666.66667,232,1,10000000
42,17B2,2,0,232,2,10000000
42,17B2,3,66666.66667,232,3,8000000
42,17B2,1,133333.3333,460,1,19333333.33
42,17B2,2,266666.6667,460,2,14000000
42,17B2,3,266666.6667,460,3,20000000
42,17B2,1,1333333.333,550,1,5333333.333
42,17B2,2,666666.6667,550,2,12000000
42,17B2,3,666666.6667,550,3,6666666.667
42,0092a,1,3333333.333,232,1,10000000
42,0092a,2,6000000,232,2,8666666.667
42,0092a,3,4666666.667,232,3,11333333.33
42,0092a,1,4000000,460,1,4666666.667
42,0092a,2,5333333.333,460,2,666666.6667
42,0092a,3,4666666.667,460,3,2000000
42,0092a,1,4000000,550,1,6000000
42,0092a,2,6000000,550,2,8000000
42,0092a,3,3333333.333,550,3,6666666.667
42,232,1,6666666.667,460,1,20000000
42,232,2,8666666.667,460,2,13333333.33
42,232,3,8000000,460,3,17333333.33
42,232,1,12000000,550,1,2666666.667
42,232,2,15333333.33,550,2,3333333.333
42,232,3,11333333.33,550,3,8000000
42,460,1,16666666.67,550,1,8666666.667
42,460,2,17333333.33,550,2,10666666.67
42,460,3,12666666.67,550,3,12000000
42,253,1,8000000,163,1,13333333.33
42,253,2,2000000,163,2,7333333.333
42,253,3,0,163,3,4666666.667
42,253,1,4666666.667,228,1,1333333.333
42,253,2,666666.6667,228,2,666666.6667
42,253,3,4666666.667,228,3,1000000
42,253,1,1666666.667,177,1,933333.3333
42,253,2,2666666.667,177,2,2000000
42,253,3,2000000,177,3,666666.6667
42,163,1,8000000,228,1,1333333.333
42,163,2,4000000,228,2,2000000
42,163,3,6000000,228,3,1333333.333
42,163,1,3333333.333,177,1,1333333.333
42,163,2,4000000,177,2,666666.6667
42,163,3,4000000,177,3,1333333.333
42,228,1,733333.3333,177,1,2000000
42,228,2,3333333.333,177,2,3333333.333
42,228,3,2000000,177,3,666666.6667
48,17B2,1,0,0092a,1,4000000
48,17B2,2,0,0092a,2,5333333.333
48,17B2,3,0,0092a,3,5333333.333
48,17B2,1,0,232,1,16666666.67
48,17B2,2,0,232,2,22666666.67
48,17B2,3,0,232,3,14666666.67
48,17B2,1,466666.6667,460,1,27333333.33
48,17B2,2,600000,460,2,24666666.67
48,17B2,3,333333.3333,460,3,31333333.33
48,17B2,1,666666.6667,550,1,9333333.333
48,17B2,2,666666.6667,550,2,10666666.67
48,17B2,3,666666.6667,550,3,12000000
48,0092a,1,10666666.67,232,1,6666666.667
48,0092a,2,10000000,232,2,8666666.667
48,0092a,3,6666666.667,232,3,4666666.667
48,0092a,1,6666666.667,460,1,4666666.667
48,0092a,2,4666666.667,460,2,4000000
48,0092a,3,7333333.333,460,3,3333333.333
48,0092a,1,7333333.333,550,1,8666666.667
48,0092a,2,1333333.333,550,2,9333333.333
48,0092a,3,2666666.667,550,3,11333333.33
48,232,1,12666666.67,460,1,14666666.67
48,232,2,15333333.33,460,2,17333333.33
48,232,3,14000000,460,3,9333333.333
48,232,1,14000000,550,1,6666666.667
48,232,2,13333333.33,550,2,6666666.667
48,232,3,18000000,550,3,6666666.667
48,460,1,26666666.67,550,1,20000000
48,460,2,26666666.67,550,2,20000000
48,460,3,26666666.67,550,3,6666666.667
48,253,1,3333333.333,163,1,6666666.667
48,253,2,1333333.333,163,2,6666666.667
48,253,3,2666666.667,163,3,4000000
48,253,1,666666.6667,228,1,2666666.667
48,253,2,2000000,228,2,4000000
48,253,3,1333333.333,228,3,1333333.333
48,253,1,2000000,177,1,666666.6667
48,253,2,1333333.333,177,2,666666.6667
48,253,3,3333333.333,177,3,666666.6667
48,163,1,5333333.333,228,1,3333333.333
48,163,2,10000000,228,2,3333333.333
48,163,3,9333333.333,228,3,4000000
48,163,1,9333333.333,177,1,666666.6667
48,163,2,5333333.333,177,2,666666.6667
48,163,3,8000000,177,3,400000
48,228,1,1333333.333,177,1,666666.6667
48,228,2,666666.6667,177,2,1333333.333
48,228,3,1200000,177,3,666666.6667
54,17B2,1,0,0092a,1,6666666.667
54,17B2,2,0,0092a,2,8666666.667
54,17B2,3,0,0092a,3,5333333.333
54,17B2,1,0,232,1,22666666.67
54,17B2,2,0,232,2,20000000
54,17B2,3,0,232,3,20000000
54,17B2,1,400000,460,1,33333333.33
54,17B2,2,800000,460,2,26666666.67
54,17B2,3,866666.6667,460,3,26666666.67
54,17B2,1,0,550,1,13333333.33
54,17B2,2,666666.6667,550,2,11333333.33
54,17B2,3,0,550,3,6666666.667
54,0092a,1,4000000,232,1,12666666.67
54,0092a,2,5333333.333,232,2,16000000
54,0092a,3,4000000,232,3,13333333.33
54,0092a,1,8000000,460,1,0
54,0092a,2,9333333.333,460,2,1333333.333
54,0092a,3,10666666.67,460,3,0
54,0092a,1,6666666.667,550,1,8666666.667
54,0092a,2,6666666.667,550,2,9333333.333
54,0092a,3,7333333.333,550,3,12000000
54,232,1,14666666.67,460,1,1333333.333
54,232,2,28000000,460,2,2000000
54,232,3,25333333.33,460,3,1333333.333
54,232,1,18000000,550,1,3333333.333
54,232,2,19333333.33,550,2,4000000
54,232,3,20000000,550,3,6000000
54,460,1,2000000,550,1,14000000
54,460,2,3333333.333,550,2,18666666.67
54,460,3,3333333.333,550,3,16000000
54,253,1,2000000,163,1,7333333.333
54,253,2,5333333.333,163,2,4000000
54,253,3,4666666.667,163,3,7333333.333
54,253,1,4666666.667,228,1,666666.6667
54,253,2,2666666.667,228,2,666666.6667
54,253,3,1333333.333,228,3,5333333.333
54,253,1,6000000,177,1,1333333.333
54,253,2,3333333.333,177,2,533333.3333
54,253,3,666666.6667,177,3,666666.6667
54,163,1,9333333.333,228,1,2666666.667
54,163,2,6666666.667,228,2,2000000
54,163,3,8666666.667,228,3,1333333.333
54,163,1,4666666.667,177,1,666666.6667
54,163,2,2666666.667,177,2,200000
54,163,3,7333333.333,177,3,666666.6667
54,228,1,2000000,177,1,1333333.333
54,228,2,2000000,177,2,2000000
54,228,3,3333333.333,177,3,0
68,17B2,1,0,0092a,1,14000000
68,17B2,2,0,0092a,2,10666666.67
68,17B2,3,0,0092a,3,6000000
68,17B2,1,0,232,1,23333333.33
68,17B2,2,0,232,2,26000000
68,17B2,3,0,232,3,21333333.33
68,17B2,1,733333.3333,460,1,29333333.33
68,17B2,2,1333333.333,460,2,24000000
68,17B2,3,2000000,460,3,28000000
68,17B2,1,666666.6667,550,1,10000000
68,17B2,2,666666.6667,550,2,12000000
68,17B2,3,0,550,3,10000000
68,0092a,1,8666666.667,232,1,17333333.33
68,0092a,2,6000000,232,2,18000000
68,0092a,3,7333333.333,232,3,13333333.33
68,0092a,1,8666666.667,460,1,666666.6667
68,0092a,2,9333333.333,460,2,333333.3333
68,0092a,3,15333333.33,460,3,533333.3333
68,0092a,1,3333333.333,550,1,13333333.33
68,0092a,2,4666666.667,550,2,14666666.67
68,0092a,3,4000000,550,3,11333333.33
68,232,1,27333333.33,460,1,1333333.333
68,232,2,36666666.67,460,2,0
68,232,3,27333333.33,460,3,0
68,232,1,23333333.33,550,1,4000000
68,232,2,17333333.33,550,2,10000000
68,232,3,21333333.33,550,3,5333333.333
68,460,1,9333333.333,550,1,18000000
68,460,2,6000000,550,2,24666666.67
68,460,3,6000000,550,3,18666666.67
68,253,1,1333333.333,163,1,8666666.667
68,253,2,4000000,163,2,10666666.67
68,253,3,2000000,163,3,6666666.667
68,253,1,4000000,228,1,2000000
68,253,2,3333333.333,228,2,1333333.333
68,253,3,1333333.333,228,3,400000
68,253,1,1600000,177,1,666666.6667
68,253,2,1533333.333,177,2,666666.6667
68,253,3,1200000,177,3,666666.6667
68,163,1,14000000,228,1,4666666.667
68,163,2,22000000,228,2,666666.6667
68,163,3,16000000,228,3,2000000
68,163,1,12666666.67,177,1,66666.66667
68,163,2,14666666.67,177,2,66666.66667
68,163,3,9333333.333,177,3,666666.6667
68,228,1,2666666.667,177,1,333333.3333
68,228,2,1333333.333,177,2,533333.3333
68,228,3,1333333.333,177,3,533333.3333
0,17B2,1,527.7777778,253,1,611.1111111
0,17B2,2,638.8888889,253,2,777.7777778
0,17B2,3,694.4444444,253,3,944.4444444
0,17B2,1,666.6666667,163,1,388.8888889
0,17B2,2,527.7777778,163,2,472.2222222
0,17B2,3,583.3333333,163,3,416.6666667
0,17B2,1,722.2222222,228,1,500
0,17B2,2,694.4444444,228,2,638.8888889
0,17B2,3,583.3333333,228,3,388.8888889
0,17B2,1,527.7777778,177,1,472.2222222
0,17B2,2,750,177,2,333.3333333
0,17B2,3,694.4444444,177,3,500
0,0092a,1,583.3333333,253,1,722.2222222
0,0092a,2,444.4444444,253,2,1138.888889
0,0092a,3,500,253,3,416.6666667
0,0092a,1,416.6666667,163,1,333.3333333
0,0092a,2,611.1111111,163,2,361.1111111
0,0092a,3,583.3333333,163,3,388.8888889
0,0092a,1,555.5555556,228,1,361.1111111
0,0092a,2,555.5555556,228,2,444.4444444
0,0092a,3,694.4444444,228,3,444.4444444
0,0092a,1,750,177,1,250
0,0092a,2,833.3333333,177,2,500
0,0092a,3,611.1111111,177,3,361.1111111
0,232,1,1583.333333,253,1,611.1111111
0,232,2,1166.666667,253,2,694.4444444
0,232,3,1305.555556,253,3,583.3333333
0,232,1,1250,163,1,416.6666667
0,232,2,1305.555556,163,2,638.8888889
0,232,3,1111.111111,163,3,500
6,17B2,1,4000,253,1,4666.666667
6,17B2,2,2000,253,2,2000
6,17B2,3,3333.333333,253,3,3333.333333
6,17B2,1,3333.333333,163,1,2666.666667
6,17B2,2,2000,163,2,2666.666667
6,17B2,3,2000,163,3,10000
6,17B2,1,666.6666667,228,1,2000
6,17B2,2,4000,228,2,6000
6,17B2,3,1333.333333,228,3,2000
6,17B2,1,4000,177,1,3333.333333
6,17B2,2,666.6666667,177,2,1333.333333
6,17B2,3,2000,177,3,2000
6,0092a,1,2666.666667,253,1,0
6,0092a,2,2666.666667,253,2,666.6666667
6,0092a,3,3333.333333,253,3,3333.333333
6,0092a,1,4666.666667,163,1,5333.333333
6,0092a,2,1333.333333,163,2,6000
6,0092a,3,2000,163,3,2666.666667
6,0092a,1,6000,228,1,0
6,0092a,2,4000,228,2,4000
6,0092a,3,2000,228,3,1333.333333
6,0092a,1,666.6666667,177,1,2666.666667
