Strain_1,Strain_2,Replicate,N10,N20,r1,r2,a11,a22,a12,a21
177,0092a,22,1178,309,0.32494787301667605,0.35652447220267103,-1.1047826365205899e-07,-4.542947285766098e-08,-1.2517268565626558e-08,-1.773085694366287e-09
177,0092a,23,952,452,0.32494787301667605,0.36236833851613437,-1.1047826365205899e-07,-4.882061479548481e-08,-7.830167367272063e-09,-1.0819406345069726e-09
177,0092a,24,718,473,0.31515748165318325,0.34145320846509697,-9.315816173460822e-08,-4.060268763040022e-08,-4.191369803553201e-09,-3.920855396652538e-09
177,0092a,25,1095,290,0.3159675555707896,0.3586889398525782,-1.0147251789052686e-07,-4.431390251582648e-08,-3.0735205049293274e-09,-2.5260237556081504e-09
177,0092a,26,884,413,0.32266949092260766,0.350060532559899,-9.622475835441071e-08,-4.583816080331165e-08,-6.175640813585045e-09,-6.611986947420045e-09
177,0092a,27,711,436,0.3118979871267109,0.34145320846509697,-1.001207233823627e-07,-4.060268763040022e-08,-1.0171844864077953e-08,-2.0178184922712494e-09
177,0092a,28,1242,381,0.3201714369302543,0.34145320846509697,-1.0590097615150956e-07,-4.060268763040022e-08,-2.6816862163595775e-09,-1.0097071071624572e-09
177,0092a,29,1162,347,0.3181387245971452,0.35646220185003774,-1.0714664269890418e-07,-4.4973724251582114e-08,-2.051082240620323e-09,-1.204649077140653e-09
177,0092a,30,1060,369,0.3124337073118716,0.35646220185003774,-9.781637279935095e-08,-4.4973724251582114e-08,-4.439389884590618e-09,-1.1819778415426174e-09
177,0092a,31,773,520,0.3201714369302543,0.34727439412248307,-1.0590097615150956e-07,-4.505339187281659e-08,-1.0946087403965888e-08,-1.7203047175154535e-09
177,0092a,32,723,335,0.32170158804179394,0.35658655351902135,-1.0903081667431122e-07,-4.9144638467339614e-08,-2.2619923773602464e-09,-1.404738033818809e-09
177,0092a,33,1186,548,0.3191060213348129,0.3339536466325035,-9.847364811947572e-08,-3.828485777054275e-08,-1.4321599010191683e-09,-1.1259608677751712e-09
177,0092a,34,905,542,0.32170158804179394,0.35646220185003774,-1.0903081667431122e-07,-4.4973724251582114e-08,-1.013694512138742e-09,-1.0798591945585466e-09
177,0092a,35,1023,339,0.3159675555707896,0.34145320846509697,-1.0147251789052686e-07,-4.060268763040022e-08,-7.827373152742782e-09,-7.034283492889894e-09
177,0092a,36,830,398,0.3191060213348129,0.3468203520065788,-9.847364811947572e-08,-4.5324251309379346e-08,-2.7311038090492634e-09,-3.492011771706094e-09
177,0092a,37,1074,264,0.32170158804179394,0.35646220185003774,-1.0903081667431122e-07,-4.4973724251582114e-08,-9.574799524387315e-09,-4.571243742631419e-09
177,0092a,38,671,553,0.32494787301667605,0.3444688582711454,-1.1047826365205899e-07,-4.5686586970538144e-08,-1.0455593271749104e-08,-1.99670540721027e-09
177,0092a,39,918,457,0.3150028216396975,0.34727439412248307,-1.0466261555225245e-07,-4.505339187281659e-08,-8.113461307703574e-09,-1.8468008630672688e-09
177,0092a,40,686,301,0.3191060213348129,0.350060532559899,-9.847364811947572e-08,-4.583816080331165e-08,-8.32245090281904e-09,-2.217736583590841e-09
177,0092a,41,1037,406,0.32352578772342067,0.35658655351902135,-1.018045478502098e-07,-4.9144638467339614e-08,-7.53450237432096e-09,-2.12634211209077e-09
177,0092a,42,966,373,0.3149179229547673,0.35330506969232334,-9.858194676560184e-08,-4.5946153769040283e-08,-2.209358195542467e-09,-1.4647144558526548e-09
177,0092a,43,814,308,0.32170158804179394,0.35149088462718103,-1.0903081667431122e-07,-4.673888590534407e-08,-1.2647945212259501e-09,-3.461717318127098e-09
177,0092a,44,674,404,0.32352578772342067,0.35080974094676287,-1.018045478502098e-07,-4.9720971448032214e-08,-1.0120251224482089e-08,-1.4992581468393219e-09
177,0092a,45,1014,373,0.3100170004576178,0.3586889398525782,-9.237846361223267e-08,-4.431390251582648e-08,-1.1745221345885675e-09,-1.1033709232374022e-09
177,0092a,46,593,413,0.31443412727256126,0.34145320846509697,-1.0476150994133866e-07,-4.060268763040022e-08,-4.761469802377468e-09,-1.1503236021149502e-09
177,0092a,47,650,503,0.3191060213348129,0.35652447220267103,-9.847364811947572e-08,-4.542947285766098e-08,-6.488439687679818e-09,-1.8688023067968334e-09
177,0092a,48,833,290,0.31679633373802574,0.34145320846509697,-1.0239139646127714e-07,-4.060268763040022e-08,-1.0709854787136818e-09,-1.3113885136019428e-09
177,0092a,49,903,341,0.3126825809353032,0.34145320846509697,-1.0171777826024209e-07,-4.060268763040022e-08,-5.4140871373661555e-09,-6.476099547785221e-09
177,163,0,2533,747,0.32494787301667605,0.37295865335806666,-1.1047826365205899e-07,-3.362251579979106e-08,-4.216798619427166e-08,-1.1223056431985162e-07
177,163,1,1956,696,0.3159675555707896,0.3658482853573548,-1.0147251789052686e-07,-2.9598898435195076e-08,-3.2896986569513695e-08,-8.897658905910323e-08
177,163,2,1774,564,0.3234369166307497,0.37671460893995623,-9.845146047369231e-08,-3.2844262060777873e-08,-3.750103795570627e-08,-8.243805000608276e-08
177,163,3,2794,631,0.30818726746905145,0.36958192895746556,-1.0787239529381331e-07,-2.750361534895893e-08,-3.4147292823514735e-08,-1.1374736892399004e-07
177,163,4,2391,762,0.3088749693438828,0.37152138841401294,-1.0278052285583002e-07,-2.6452240010998625e-08,-3.233520074510946e-08,-1.153838856066438e-07
177,163,5,2140,469,0.31679633373802574,0.3724336195621635,-1.0239139646127714e-07,-3.1297809557858654e-08,-3.156513189701765e-08,-6.760555849470548e-08
177,163,6,2620,675,0.30841435345892776,0.3676896794140173,-9.020401890376038e-08,-2.6630084462066757e-08,-3.1099738157331946e-08,-8.662411256473949e-08
177,163,7,3122,570,0.3111964118834172,0.3798319574187168,-1.0148252223337473e-07,-3.1178477199468907e-08,-3.864692967112973e-08,-1.0605294806529483e-07
177,163,8,3479,554,0.2993088238528051,0.386471794993982,-8.51307890736125e-08,-3.34761877819589e-08,-3.597157422079894e-08,-8.881181934689613e-08
177,163,9,2321,806,0.3100170004576178,0.38175363334185397,-9.237846361223267e-08,-3.015005754968029e-08,-3.5420903738070075e-08,-1.1063616207860955e-07
177,163,10,2270,507,0.3124337073118716,0.3773448865724264,-9.781637279935095e-08,-2.9502106099635952e-08,-3.98992332965114e-08,-1.2022525943693614e-07
177,163,11,3963,613,0.2993088238528051,0.3823866295148405,-8.51307890736125e-08,-3.203178557444247e-08,-3.596638112947597e-08,-9.333502275818308e-08
177,163,12,3095,753,0.30431675672262526,0.38436094847304847,-1.0012816746069455e-07,-2.8251780228616105e-08,-3.154093156475508e-08,-1.1503067992690436e-07
177,163,13,1854,525,0.3120589433513524,0.386471794993982,-9.058767403219104e-08,-3.34761877819589e-08,-3.379365430044445e-08,-9.853226629445847e-08
177,163,14,1708,467,0.31443412727256126,0.3724336195621635,-1.0476150994133866e-07,-3.1297809557858654e-08,-3.0771406464226745e-08,-8.01650188540298e-08
177,163,15,1609,484,0.32352578772342067,0.37962331063777355,-1.018045478502098e-07,-2.8438639303509522e-08,-2.8657857288916134e-08,-7.2622774302166e-08
177,163,16,2456,487,0.32170158804179394,0.3798390552100631,-1.0903081667431122e-07,-2.721397635406001e-08,-2.8414037084632724e-08,-7.593521180164736e-08
177,163,17,2046,557,0.3090380594896518,0.37671460893995623,-1.0803178097917879e-07,-3.2844262060777873e-08,-3.128502549396476e-08,-7.339089429730634e-08
177,163,18,2054,595,0.29804220127195646,0.38175363334185397,-9.286355934241644e-08,-3.015005754968029e-08,-3.036029854901341e-08,-1.0519958233166374e-07
177,163,19,2071,467,0.31572583380541874,0.3786722012589865,-1.0613553892641989e-07,-3.349429939013948e-08,-3.125532911316854e-08,-5.489391892036571e-08
177,163,20,3254,587,0.3104212731803334,0.3658482853573548,-9.709828496365418e-08,-2.9598898435195076e-08,-3.1644708879673365e-08,-6.373313903227137e-08
177,163,21,2527,349,0.3150028216396975,0.3773448865724264,-1.0466261555225245e-07,-2.9502106099635952e-08,-3.1779844461091134e-08,-8.300117019875672e-08
177,163,22,3764,588,0.3201714369302543,0.37064849803812094,-1.0590097615150956e-07,-3.074411421072052e-08,-3.425711419330831e-08,-7.970002139611532e-08
177,163,23,1701,780,0.3072966924471745,0.37490807162403383,-9.93224387170531e-08,-2.770401978546239e-08,-4.675350195767247e-08,-1.7288289304152334e-07
177,163,24,3045,410,0.3104212731803334,0.38620113946716306,-9.709828496365418e-08,-2.9562462937472937e-08,-3.0356575916809945e-08,-8.956548507076237e-08
177,163,25,2004,700,0.30042809014045857,0.3635760968525399,-9.198524390589454e-08,-2.792455294759383e-08,-3.731989774835503e-08,-1.2388452665892295e-07
177,163,26,3130,629,0.31443412727256126,0.38620113946716306,-1.0476150994133866e-07,-2.9562462937472937e-08,-3.504790940699623e-08,-1.049730128211017e-07
177,163,27,2963,743,0.3118979871267109,0.36942317893042764,-1.001207233823627e-07,-2.8911502346577905e-08,-4.4825396369975766e-08,-1.2488819781523777e-07
177,163,28,3011,436,0.3090380594896518,0.3674169690021676,-1.0803178097917879e-07,-2.8881827329572448e-08,-3.014988051372519e-08,-7.383850715590673e-08
177,163,29,3033,659,0.3120589433513524,0.38620113946716306,-9.058767403219104e-08,-2.9562462937472937e-08,-3.555397439585163e-08,-9.839174096788071e-08
177,163,30,2220,407,0.31572583380541874,0.37152138841401294,-1.0613553892641989e-07,-2.6452240010998625e-08,-2.7817608612357184e-08,-7.163254247077212e-08
177,163,31,2960,405,0.3025818826081359,0.39378158232800176,-8.922119035134869e-08,-3.11004072816003e-08,-3.6843986539507026e-08,-1.0471507131212423e-07
177,163,32,2792,542,0.3104212731803334,0.37478688401005855,-9.709828496365418e-08,-2.6963538091157938e-08,-3.0470596001602546e-08,-7.919924654996976e-08
177,163,33,3594,558,0.3159675555707896,0.3670566864838578,-1.0147251789052686e-07,-2.9776598169252535e-08,-3.1259384776917173e-08,-6.672348915538084e-08
177,163,34,3002,679,0.2973023681612803,0.37478688401005855,-1.0103579938689915e-07,-2.6963538091157938e-08,-3.2436793340657743e-08,-1.2592871879609138e-07
177,163,35,3120,542,0.3072966924471745,0.3711743503007958,-9.93224387170531e-08,-2.7289610206269397e-08,-2.981590490187393e-08,-9.195002537170889e-08
177,163,36,2642,751,0.312348594590254,0.37152138841401294,-1.0198345306083554e-07,-2.6452240010998625e-08,-2.8448137374616145e-08,-8.044538458757375e-08
177,163,37,2003,902,0.3126825809353032,0.38436094847304847,-1.0171777826024209e-07,-2.8251780228616105e-08,-3.3784258443502536e-08,-1.2986504552931164e-07
177,163,38,2510,883,0.2973023681612803,0.38824657303153354,-1.0103579938689915e-07,-3.3997457988841046e-08,-3.5919552128134846e-08,-1.382882164414867e-07
177,163,39,2960,538,0.3120589433513524,0.3824457009127423,-9.058767403219104e-08,-2.9633364041049534e-08,-4.0802501633202154e-08,-1.0737502402690367e-07
177,163,40,1715,764,0.31679633373802574,0.3670566864838578,-1.0239139646127714e-07,-2.9776598169252535e-08,-3.013151560559787e-08,-6.586083074981984e-08
177,163,41,2021,594,0.3126825809353032,0.3670566864838578,-1.0171777826024209e-07,-2.9776598169252535e-08,-2.7915127408634905e-08,-5.1146345383195324e-08
177,163,42,3197,470,0.31037786074880713,0.37478688401005855,-1.062969197707443e-07,-2.6963538091157938e-08,-2.7647356819414995e-08,-7.385622933681085e-08
177,163,43,1438,432,0.3068731579236006,0.38596601253711604,-9.39334543180236e-08,-3.084455162678244e-08,-3.048207703374552e-08,-9.679830999356614e-08
177,163,44,3000,681,0.30267412220273593,0.37962331063777355,-9.967656866539439e-08,-2.8438639303509522e-08,-3.2309129916886226e-08,-1.0095744499267103e-07
177,163,45,3067,775,0.30042809014045857,0.37152138841401294,-9.198524390589454e-08,-2.6452240010998625e-08,-3.5728731291563423e-08,-1.2190729973408834e-07
177,163,46,3475,662,0.3007792482133318,0.3738449727791672,-9.402847271156212e-08,-2.5953790958429898e-08,-3.820522220216662e-08,-1.2279974153446747e-07
177,163,47,2768,744,0.29804220127195646,0.3754027778414545,-9.286355934241644e-08,-2.860142207094455e-08,-2.8128144906966866e-08,-8.190757280831841e-08
177,163,48,2536,815,0.3150028216396975,0.3737232250666763,-1.0466261555225245e-07,-2.67921744085026e-08,-2.8887041559852533e-08,-8.387855502627804e-08
177,163,49,2275,436,0.30841435345892776,0.377376994435511,-9.020401890376038e-08,-3.0309743599182913e-08,-2.7630397980708667e-08,-4.721919013818495e-08
17B2,0092a,0,98,560,0.15877057842582087,0.35658655351902135,-3.4931979207351423e-08,-4.9144638467339614e-08,-1.0063133453640467e-09,-6.628442861626793e-09
17B2,0092a,1,84,668,0.16144595829608466,0.3582579821552073,-3.365327443277109e-08,-4.903465193747379e-08,-1.1621210507517296e-09,-3.675927830857116e-08
17B2,0092a,2,62,623,0.16390723088244208,0.35624779247085525,-3.392727238550212e-08,-5.289483639555071e-08,-2.4498099892164697e-09,-1.7422303683243423e-09
17B2,0092a,3,83,509,0.15719112174251815,0.35652447220267103,-2.408622731041991e-08,-4.542947285766098e-08,-1.1917365894554182e-09,-7.910575570099726e-09
17B2,0092a,4,52,547,0.16511291975390685,0.3627506516045673,-5.0830413714700476e-08,-5.524993679787221e-08,-1.8054775485493073e-09,-5.68644741489931e-08
17B2,0092a,5,93,545,0.1569807037400145,0.3569058215124884,-3.397386117265338e-08,-5.314225380073493e-08,-1.3502715332350102e-09,-5.092958229982459e-09
17B2,0092a,6,87,630,0.16511291975390685,0.3520393888487585,-5.0830413714700476e-08,-5.020999183742575e-08,-2.5711735120567664e-09,-7.78685574842155e-08
17B2,0092a,7,126,621,0.16390723088244208,0.35333555681742146,-3.392727238550212e-08,-4.7019938041557845e-08,-2.0996567244785134e-09,-2.140066247502895e-08
17B2,0092a,8,46,554,0.1682661067501624,0.3542838557565372,-3.3202272746677327e-08,-5.2847610472010095e-08,-2.7832785314558484e-09,-1.5488769854691206e-09
17B2,0092a,9,85,383,0.16390723088244208,0.35330506969232334,-3.392727238550212e-08,-4.5946153769040283e-08,-1.2077719614004725e-09,-9.100184249017361e-09
17B2,0092a,10,121,403,0.16162179985228953,0.362853936318312,-2.3477830023726236e-08,-5.4334497929411294e-08,-2.2477026605902553e-09,-8.459451871932908e-09
17B2,0092a,11,64,530,0.1573483993293383,0.3627506516045673,-4.139480245772152e-08,-5.524993679787221e-08,-1.290110653641497e-09,-2.4568460475442068e-08
17B2,0092a,12,121,815,0.1682661067501624,0.35333555681742146,-3.3202272746677327e-08,-4.7019938041557845e-08,-1.4429469529998639e-09,-2.0226917701080223e-08
17B2,0092a,13,93,666,0.15634215938863227,0.35712991563564,-3.3814974540155174e-08,-5.0214276420377036e-08,-1.0866948828331446e-09,-7.975372840061252e-09
17B2,0092a,14,116,642,0.159095623208786,0.3487561616753452,-2.951833057640333e-08,-4.544356878451334e-08,-1.086062223542965e-09,-2.1291674773242962e-08
17B2,0092a,15,78,502,0.16511291975390685,0.34727439412248307,-5.0830413714700476e-08,-4.505339187281659e-08,-3.6589446637270784e-09,-8.716551508943595e-09
17B2,0092a,16,108,597,0.15719112174251815,0.3524087869449961,-2.408622731041991e-08,-4.4429547556346155e-08,-1.2687498648967202e-09,-3.468045928581914e-08
17B2,0092a,17,72,580,0.1588270372390045,0.3569058215124884,-2.484647491466898e-08,-5.314225380073493e-08,-2.873607015272307e-09,-9.069639327151732e-09
17B2,0092a,18,120,617,0.15954637775138303,0.3487561616753452,-4.254467320302214e-08,-4.544356878451334e-08,-2.1369961800623453e-09,-3.109723635062528e-09
17B2,0092a,19,59,543,0.15881731820428646,0.3520393888487585,-3.4184121410033164e-08,-5.020999183742575e-08,-1.4978060351049622e-09,-2.3929482195422052e-08
17B2,0092a,20,122,704,0.1588270372390045,0.3520393888487585,-2.484647491466898e-08,-5.020999183742575e-08,-1.2456684983780757e-09,-1.4144138899226788e-08
17B2,0092a,21,76,515,0.1541842830179878,0.3582579821552073,-3.085130355044749e-08,-4.903465193747379e-08,-1.6454548795807499e-09,-2.1342423490092826e-08
17B2,0092a,22,122,666,0.159095623208786,0.350060532559899,-2.951833057640333e-08,-4.583816080331165e-08,-2.0877619139007582e-09,-1.4104739825959822e-09
