Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,5019777.809475739,21850918.998773023,0.0,0.0,0.0,9001423.572517576,1287711.3946720625,0.0
M1,0.0,5297963.839980568,21984025.99487928,1170.4448116421177,0.0,0.0,7505021.339134154,1385178.596366793,0.0
M2,0.0,0.0,23618915.891077098,17.99810905821069,0.0,0.0,3528272.3977754093,2947327.461508192,0.0
M3,0.0,6103004.986326579,21104313.956535496,73.65142158600366,0.0,0.0,10062259.781173315,964237.3979784386,0.0
M4,0.0,4091791.5640876135,27147567.39826301,0.0,0.0,0.0,8328701.552540171,1760262.562221445,0.0
M5,0.0,3052890.669936472,24029049.740694534,4.243193444029718,0.0,0.0,8431160.231346665,1297937.887011584,0.0
M6,0.0,3664634.509690598,25533811.960981015,0.0,0.0,0.0,5516714.350649203,2459892.4811483994,0.0
M7,0.0,5023443.739965439,18704971.539785832,4.601604901583656,0.0,0.0,7518906.909489392,1588419.2990659315,0.0
M8,0.0,5942583.116625861,19738013.33584725,45.36537942470813,0.0,0.0,11581606.156736705,434765.008728374,0.0
M9,0.0,5127563.553553772,16274969.305056706,710.9432151261026,0.0,0.0,7164265.297982198,1992606.0040572723,0.0
M10,0.0,5510565.96122565,16006673.506013254,55.59664523497044,0.0,0.0,8724234.44874203,1339614.1028873383,0.0
M11,0.0,5080377.756697835,23843547.762985177,51884.52320162004,0.0,0.0,9851769.82086734,721313.1185904471,0.0
M12,0.0,4844707.8295409735,17715966.63985754,5.2018909871754335,0.0,0.0,10679581.923639901,998729.8856805569,0.0
M13,0.0,5813326.682696382,20308776.31495113,0.0,0.0,0.0,7483336.768399408,1942841.207928623,0.0
M14,0.0,4553452.851016463,25813312.374176178,0.0,0.0,0.0,7725564.7889531255,1810482.5300154963,0.0
M15,0.0,3527594.571253971,17408717.030867983,2209.332154047198,0.0,0.0,9579671.346399067,1297396.936358061,0.0
M16,0.0,6509342.748770429,14918373.285441924,724.5814891373493,0.0,0.0,10444836.805393856,262612.0580018848,0.0
M17,0.0,4946769.723129253,22224384.822891716,4.932682291192044,0.0,0.0,4983216.013633687,2339190.131916858,0.0
M18,0.0,2448697.192143497,25966166.42037615,5951.59482372149,0.0,0.0,8461079.375374265,1061580.1292722523,0.0
M19,0.0,5295430.501651555,22264877.526231,6.410331292892191,0.0,0.0,10714744.015346866,882304.5236048956,0.0
M20,0.0,4570623.5502555,24110758.996328156,49.857026343225584,0.0,0.0,9191022.809302239,1294565.3313093893,0.0
M21,0.0,4514588.41132826,22341196.818872202,0.0,0.0,0.0,5290569.76446202,2130788.978674818,0.0
M22,0.0,4670165.665581497,24425047.3826114,36.41422963290278,0.0,0.0,7211595.693644428,1429514.442210587,0.0
M23,0.0,4750078.520695807,23461460.40890496,3068.8415500909155,0.0,0.0,11053223.229255546,411492.95364030096,0.0
M24,0.0,5335519.177684384,17221724.94265522,0.0,0.0,0.0,10727916.379553132,1531797.4210863481,0.0
M25,0.0,5152623.823438065,16721309.281728322,2073.185516883462,0.0,0.0,8097547.095547078,1318847.1319108238,0.0
M26,0.0,5591566.430200447,15842497.585331237,545.6490371269612,0.0,0.0,11112108.349741125,363615.9630310163,0.0
M27,0.0,3707348.4094431223,19698597.94291521,2698.48425666253,0.0,0.0,4428920.450238706,2591983.2211491745,0.0
M28,0.0,5291114.650767205,18308817.915041745,0.0,0.0,0.0,9822665.71456138,1249973.3537827705,0.0
M29,0.0,4579332.008829186,23591481.86252798,0.0,0.0,0.0,5607607.060564552,3055188.568069775,0.0
M30,0.0,5831500.189855254,17627429.945443965,461.620912920966,0.0,0.0,10572150.195072742,1298343.7599475484,0.0
M31,0.0,3775651.152266828,24870867.386620153,4.368168852564913,0.0,0.0,5879563.013200517,2358405.872526994,0.0
M32,0.0,5501709.490599631,21600027.44396969,0.0,0.0,0.0,11772580.936577192,622292.7049286739,0.0
M33,0.0,4421301.224907987,25394282.224271514,4.7617572807848925,0.0,0.0,9721517.569944575,1473654.962879388,0.0
M34,0.0,3028879.0177584165,18410172.20040051,12.202121200831233,0.0,0.0,9123931.648057537,2033059.512892354,0.0
M35,0.0,4920853.247253238,21034528.253167786,0.0,0.0,0.0,9159564.609363986,1689767.3429662355,0.0
M36,0.0,5167855.57708357,25018804.456108287,0.0,0.0,0.0,8844951.984147683,1182191.0683153935,0.0
M37,0.0,3737659.7455421006,20633401.739698425,5.412491139165128,0.0,0.0,7236302.589291288,2779813.767578903,0.0
M38,0.0,4566014.0407519415,17290801.68319102,17.164301774484215,0.0,0.0,6369725.506426652,1854897.2182668734,0.0
M39,0.0,4609690.805102899,25415881.08648684,0.0,0.0,0.0,10159239.829631118,761242.8168842882,0.0
M40,0.0,5283729.994999617,18905049.61264852,108.7672431686908,0.0,0.0,9139659.195188345,981146.293447026,0.0
M41,0.0,4541112.449175146,17563200.80115262,0.0,0.0,0.0,10279917.874574788,1719319.4938941908,0.0
M42,0.0,4174496.303454121,27151875.59743367,17.950195819433624,0.0,0.0,8339347.272048503,1181140.8571755425,0.0
M43,0.0,3774842.0237853234,17335082.839055,218.17849976900413,3.8321595856026383,0.0,7261153.883818869,1709365.346032669,0.0
M44,0.0,4258192.481293484,21925186.267195974,2288.752968708107,0.0,0.0,8008938.599958631,1560886.5492282622,0.0
M45,0.0,3025675.5509002157,22929518.7284389,0.0,0.0,0.0,7375357.572042163,1774379.5917193855,0.0
M46,0.0,5114096.509088696,22796210.22830328,575.7262658057663,0.0,0.0,10083686.661043866,1022474.9868228588,0.0
M47,0.0,4417534.018706752,22751684.745678853,0.0,0.0,0.0,8009139.4044886865,2170980.678151554,0.0
M48,0.0,5330921.739010903,22951314.04884145,3.8205035717498164,0.0,0.0,7221672.695295934,1840248.4859984838,0.0
M49,0.0,5072388.576721627,21766407.697566226,0.0,0.0,0.0,10246799.72935842,1173641.5496624552,0.0
M50,0.0,5343328.425550562,17796132.13328848,4.454974003766725,0.0,0.0,8650577.114129977,1174787.6143697617,0.0
M51,0.0,3154782.5928887194,21882352.22645541,5.170049975197272,0.0,0.0,7563267.452740534,1645915.2391376062,0.0
M52,0.0,5487041.923548466,20354612.68679743,38.34079900036523,0.0,0.0,6645715.615421939,1898552.4254488002,0.0
M53,0.0,3049827.5830292706,22174397.79380455,11.265338703242863,0.0,0.0,8420982.6023296,1286051.3875859024,0.0
M54,0.0,4558007.742425504,14575388.783665605,4.844007055441172,0.0,0.0,7880104.992571772,2215053.476121395,0.0
M55,0.0,6263201.949887599,21521216.9099164,2170.976088086941,0.0,0.0,12401791.050736489,6302.716283124578,0.0
M56,0.0,5220727.4182691015,20326954.464221083,380.814546121186,0.0,0.0,6544887.500438716,1760172.1693416263,0.0
M57,0.0,2637967.0822512256,27837685.667946253,0.0,0.008658387394045161,0.0,7034822.999421855,1890833.8712318642,0.0
M58,0.0,4865844.111894203,22161429.717018623,17.25344080237056,0.0,0.0,5411338.503722045,2102781.398927593,0.0
M59,0.0,4662715.546108011,23201096.162107185,102.52052144260453,0.0,0.0,8244894.835752771,1406545.0511518002,0.0
M60,0.0,3160126.570726108,22752706.970389962,4.617867985804571,0.0,0.0,9175200.00675659,1182148.422925411,0.0
M61,0.0,3177767.1015087496,18239086.8003984,20.363569727048557,0.0,0.0,9150394.807290493,2005149.2807939865,0.0
M62,0.0,5234985.392691086,26356362.67493779,76.63957284680464,0.0,0.0,6570584.27893757,1766077.9135283316,0.0
M63,0.0,5246845.475113283,17934405.77239212,4.993786421374101,1.1792264786690263,0.0,8644176.203788051,1986427.0569234486,0.0
M64,0.0,3348010.887792404,15972067.74694577,0.0,0.0,0.0,7606188.047503719,2843426.9954128047,0.0
M65,0.0,0.0,22060226.39701082,0.0,6929736.421752538,0.0,9289459.499030087,1442264.5098185712,0.0
M66,0.0,4965789.536621516,15163269.27712227,64.60461396595288,0.0,0.0,8342811.32267575,1637028.2590455206,0.0
M67,0.0,4471551.991365322,20358596.556091446,0.0,0.0,0.0,9873390.539851645,1180025.7328738803,0.0
M68,0.0,4716311.952426362,22061599.444240496,0.0,0.0,0.0,7304489.795394288,1873479.3732403044,0.0
M69,0.0,4519044.858392567,23138465.22740005,10.563449769971006,0.0,0.0,6123050.992663554,1869357.0094766521,0.0
M70,0.0,5792483.312852215,17911331.26789273,29.44907706821698,0.0,0.0,8299588.071205771,1893098.1220517342,0.0
M71,0.0,4375403.445595973,20648570.519189496,0.0,0.0,0.0,9813857.839013547,1432800.4969355948,0.0
M72,0.0,4842625.19758898,21032740.28286529,4.778690002372386,0.0,0.0,6183502.736835313,2738370.9910503766,0.0
M73,0.0,4809998.588819549,16663471.435309634,524.7397094645312,0.0,0.0,9186025.97022312,1176070.4605650823,0.0
M74,0.0,5866795.26942301,13809638.975482447,1250.4875121549617,0.0,0.0,10092108.692251971,483560.6195803542,0.0
M75,0.0,5298165.333828469,20640268.90718119,0.0,0.0,0.0,12428602.933318805,31765.512937311105,0.0
M76,0.0,4066148.9212376056,17810694.100331124,0.0,0.0,0.0,7299211.871631838,2301301.8772193543,0.0
M77,0.0,0.0,18599626.711868946,147.41749710292262,354740.6664640727,0.0,8888714.48940338,1746419.2560841579,0.0
M78,0.0,4819557.953726737,19166236.89491514,41.067332290086206,0.0,0.0,9540420.176344275,1018181.9511773321,0.0
M79,0.0,4869021.286064282,21286723.786689114,0.0,0.0,0.0,8809450.99784441,1921331.5502018307,0.0
M80,0.0,4032043.6292989682,26137048.49170643,0.0,0.0,0.0,5506826.106136259,2497025.9365792326,0.0
M81,0.0,4834432.400236465,22858950.98870407,78.63067730035934,0.0,0.0,8665121.322910951,1112812.0165603033,0.0
M82,0.0,5610297.17741539,19748350.667803556,2174.721842744055,0.0,0.0,10157548.172447992,368734.3469752053,0.0
M83,0.0,5307677.989289944,26402584.26543933,0.0,0.0,0.0,9815227.135502895,1187744.6277015416,0.0
M84,0.0,0.0,21835537.164859477,41.9012193804763,42065.068409907966,0.0,9628864.73570482,951557.4890019916,0.0
M85,0.0,2052113.5550463465,24605865.285424966,21.154321825822542,0.0,0.0,9422480.729351161,1494489.6177156987,0.0
M86,0.0,4869583.384555903,22530561.15950654,0.0,0.0,0.0,9547310.833723497,1132106.6853853131,0.0
M87,0.0,5276925.81867756,24319675.43727064,0.0,0.0,0.0,6590578.550933226,1837139.604895437,0.0
M88,0.0,4504895.858849543,20759581.942996398,0.0,0.0,0.0,8475105.482187893,2327581.450400225,0.0
M89,0.0,3981838.7515508044,20565701.077506617,0.0,0.0,0.0,8781031.382372988,1921765.0628089032,0.0
M90,0.0,5561526.551600413,21147974.755956225,0.0,0.0,0.0,7044363.467624856,2605993.3898813007,0.0
M91,0.0,5072925.061937754,20782167.648038086,0.0,0.0,0.0,9815088.563050153,1087580.076364386,0.0
M92,0.0,3331865.748574422,24251544.153194614,19.74964949142484,0.0,0.0,7185867.9032014925,2151387.351855918,0.0
M93,0.0,4856492.293104491,23807276.76357504,0.0,0.0,0.0,9676997.893433098,1522750.7001440516,0.0
M94,0.0,2717747.1851738403,23350036.41889071,0.0,0.0,0.0,6466735.177864554,2785340.0059715235,0.0
M95,0.0,4901062.591540073,20724927.91248496,5.146904889879392,0.0,0.0,7317788.294775412,2414460.9734317902,0.0
M96,0.0,0.0,26857962.03365849,0.0,0.9810276468687567,0.0,5459813.333059855,2255567.3419687008,0.0
M97,0.0,1585382.1281486622,22254433.162175205,0.0,0.0,0.0,6856299.838657951,2569287.3018808058,0.0
M98,0.0,4312945.040749476,15931437.37385042,0.0,0.0,0.0,9688040.538680298,2171857.680656012,0.0
M99,0.0,3795368.379863386,15383849.37626452,3.7140972130145613,0.0,0.0,8678010.621017072,1257498.0949877182,0.0
