Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0004586435316922489,3896160.717581506,22294954.280536883,8114325.050699949,2.215403249485246e-10,2528443.4917778866,1.483435852319036e-07,1.4501227333278196e-06,0.0
M1,3.9646117297347084e-21,4728129.550705086,21647245.939223878,7830015.05081287,4.135170906021086e-07,1849920.600657335,5068320.180420814,0.48307473741011575,0.0
M2,8.527215629802111e-10,3615345.524165673,20989925.098195426,6976162.929140435,2.5421472701587826e-07,2419319.020461833,273.8504591882426,1253628.2197446276,0.0
M3,1.142380696244552e-20,4462696.460197704,22887502.348101333,6781191.38625627,4.6052875782326573e-07,2313125.200567235,97075.2703532173,733823.8415038809,0.0
M4,0.6113923230769613,3416140.297315688,25039501.23183327,9027483.712516569,3.721675303711065e-07,2192774.728394022,495703.94183053175,7814.087210526071,0.0
M5,2.74970221568408e-05,3981251.962029575,23080769.500184055,7953202.923721342,2.422104733142659e-07,2595280.276068514,4.702667237235398e-07,0.114066424091675,0.0
M6,1.2535792847873812e-09,3635312.7826827676,25598434.831225667,75.22165643984742,1.0584938842473884e-06,749.90841199914,5443730.094386854,2476011.592938307,0.0
M7,0.003348709838388899,4905059.271707088,18777795.731237087,4027507.712059174,9.767729137401552e-07,2327339.9734191634,5675012.040374872,170.9699728538575,0.0
M8,0.00814308567252957,4968656.083701974,19172488.535105847,3285036.2339503053,1.8630557383639656e-06,2221181.8289430095,7569416.1064115055,48.631694377111785,0.0
M9,1.1289001146150564e-11,3510417.2961161784,15779887.86590684,4774680.112634569,1.0465839071749352e-06,2092527.0623092325,6039004.436900206,621438.5088334602,0.0
M10,2.8001453864328073e-05,5119153.473781424,16021723.879967006,2054756.3673740653,1.4600206928089674e-06,161466.6033358347,8085526.466336475,1157887.977212925,0.0
M11,0.00013119241122578942,5003418.507538336,23893267.68478206,7305720.694780908,5.330052429584055e-07,2611213.317820747,3286243.0253993873,5.097569393177256e-10,0.0
M12,1.3071970792251305e-17,3058432.933913914,17505306.097086262,8702220.516593384,1.3043113211088863e-06,2508932.0766214123,823617.4855777763,9.40654600911188e-05,0.0
M13,1.3562600030472363e-08,6492687.9357184265,18308229.272113387,4043410.572817039,2.048668241556371e-07,2061410.6167062784,6049720.114149209,1034.2542697245985,0.0
M14,0.0014570349931007367,4750335.38450162,25788923.929632235,0.7391304710588014,2.843983150778525e-09,229851.37318412834,7858493.02831198,1495812.992249271,0.0
