Strain_1, Replicate, Time, CFU_strain_1
17B2,34,18,7666.018662509043
17B2,34,24,19007.52321572926
17B2,34,30,46999.845772635235
17B2,34,42,279030.893376376
17B2,34,48,648155.7854951262
17B2,34,54,1389808.1903015024
17B2,34,68,4298220.211563283
17B2,35,0,520.0
17B2,35,6,1335.111255114551
17B2,35,18,8796.602606026707
17B2,35,24,22537.65920732013
17B2,35,30,57534.53122335965
17B2,35,42,361781.7770210332
17B2,35,48,854688.58709911
17B2,35,54,1822104.4329950535
17B2,35,68,5077994.223103804
17B2,36,0,680.0
17B2,36,6,1754.817220821294
17B2,36,18,11668.582631999258
17B2,36,24,29986.559277344444
17B2,36,30,76511.86824272978
17B2,36,42,462703.9953828939
17B2,36,48,1018097.6588295277
17B2,36,54,1905211.8779946566
17B2,36,68,3726645.126197708
17B2,37,0,640.0
17B2,37,6,1625.1195755929086
17B2,37,18,10470.333892022856
17B2,37,24,26515.0043993146
17B2,37,30,66856.57330116873
17B2,37,42,406785.6044420569
17B2,37,48,935129.1634996699
17B2,37,54,1917714.1000070265
17B2,37,68,4829794.535738632
17B2,38,0,570.0
17B2,38,6,1441.0254158668922
17B2,38,18,9206.567658384169
17B2,38,24,23230.53592860252
17B2,38,30,58445.16325686243
17B2,38,42,359240.35778230504
17B2,38,48,847940.8635166197
17B2,38,54,1838414.0207261548
17B2,38,68,5665488.132004173
17B2,39,0,520.0
17B2,39,6,1399.9057693097047
17B2,39,18,10125.725915583535
17B2,39,24,27126.92155035521
17B2,39,30,72011.27128125823
17B2,39,42,458556.1730878132
17B2,39,48,998202.2250249428
17B2,39,54,1768982.9853994455
17B2,39,68,2999839.0640126336
17B2,40,0,610.0
17B2,40,6,1549.8480812924274
17B2,40,18,9988.506176056928
17B2,40,24,25264.50868097053
17B2,40,30,63440.688246850434
17B2,40,42,371379.01539390103
17B2,40,48,804880.9125135101
17B2,40,54,1491631.8386580371
17B2,40,68,2916235.9340386707
17B2,41,0,700.0
17B2,41,6,1802.310266821547
17B2,41,18,11936.203479856407
17B2,41,24,30638.821539038465
17B2,41,30,78235.45358533869
17B2,41,42,483622.8089761651
17B2,41,48,1104983.3255869474
17B2,41,54,2207816.230981548
17B2,41,68,5040312.169251426
17B2,42,0,590.0
17B2,42,6,1536.2030342322964
17B2,42,18,10398.301222096163
17B2,42,24,26960.40060791544
17B2,42,30,69386.11169887688
17B2,42,42,425448.1159077145
17B2,42,48,937741.3503420886
17B2,42,54,1745090.1646409011
17B2,42,68,3338865.9778800984
17B2,43,0,590.0
17B2,43,6,1462.8119505195225
17B2,43,18,8987.90785944459
17B2,43,24,22235.704706993907
17B2,43,30,54855.69814902783
17B2,43,42,323797.235036828
17B2,43,48,748852.9426719936
17B2,43,54,1595881.1897232467
17B2,43,68,4845686.316735298
17B2,44,0,630.0
17B2,44,6,1604.31979553421
17B2,44,18,10395.79000804319
17B2,44,24,26402.437907284293
17B2,44,30,66763.17784493165
17B2,44,42,408461.88224136026
17B2,44,48,941082.1927179341
17B2,44,54,1931739.9875148972
17B2,44,68,4851068.15515161
17B2,45,0,590.0
17B2,45,6,1538.5978692754056
17B2,45,18,10456.308539103284
17B2,45,24,27205.390954880444
17B2,45,30,70486.70522041727
17B2,45,42,453568.59238232026
17B2,45,48,1072920.5442502368
17B2,45,54,2251444.0756346593
17B2,45,68,5765457.491960474
17B2,46,0,700.0
17B2,46,6,1767.8762509110193
17B2,46,18,11262.999726463755
17B2,46,24,28344.43021067729
17B2,46,30,70936.02527219357
17B2,46,42,419636.4980994845
17B2,46,48,934941.5001228491
17B2,46,54,1823852.595139149
17B2,46,68,4043590.719561177
17B2,47,0,540.0
17B2,47,6,1384.6322408293584
17B2,47,18,9095.000565241953
17B2,47,24,23250.561374592355
17B2,47,30,59136.63731665059
17B2,47,42,363295.178166075
17B2,47,48,829620.0855689462
17B2,47,54,1663347.3613442136
17B2,47,68,3858887.6614077794
17B2,48,0,540.0
17B2,48,6,1385.6451711270392
17B2,48,18,9116.033836527107
17B2,48,24,23327.21793096023
17B2,48,30,59413.48837949125
17B2,48,42,367579.64214333653
17B2,48,48,847293.23694125
17B2,48,54,1726182.5472138433
17B2,48,68,4179364.685651014
17B2,49,0,780.0
17B2,49,6,2023.3245348505961
17B2,49,18,13583.799632765844
17B2,49,24,35034.4031147357
17B2,49,30,89470.90557685844
17B2,49,42,526911.7253790945
17B2,49,48,1106045.9991618274
17B2,49,54,1920238.0483308202
17B2,49,68,3255478.1021838957
0092a,0,0,4290.0
0092a,0,6,34628.671538944654
0092a,0,18,1760480.1347730267
0092a,0,24,5429514.289325847
0092a,0,30,7303326.183061943
0092a,0,42,7667822.202287155
0092a,0,48,7673359.929574741
0092a,0,54,7675455.867718128
0092a,0,68,7673581.72959766
0092a,1,0,4320.0
0092a,1,6,35333.79187525982
0092a,1,18,1787861.5336342803
0092a,1,24,5185408.828295934
0092a,1,30,6740706.344893847
0092a,1,42,7026224.227788809
0092a,1,48,7030585.220900755
0092a,1,54,7032442.640341489
0092a,1,68,7030681.9056704985
0092a,2,0,4480.0
0092a,2,6,37153.990615538045
0092a,2,18,1927026.5781331258
0092a,2,24,5578130.212586195
0092a,2,30,7215457.5615845015
0092a,2,42,7509289.857292561
0092a,2,48,7513549.601296167
0092a,2,54,7515672.595937142
0092a,2,68,7513512.74751344
0092a,3,0,4290.0
0092a,3,6,37616.580646677285
0092a,3,18,2031670.5213090451
0092a,3,24,5242485.263258216
0092a,3,30,6384087.963016351
0092a,3,42,6562672.44127745
0092a,3,48,6564603.775990747
0092a,3,54,6566524.189252516
0092a,3,68,6563631.419982694
0092a,4,0,4980.0
0092a,4,6,43662.28614124375
0092a,4,18,2262731.1725962437
0092a,4,24,5471679.450610125
0092a,4,30,6516377.344562436
0092a,4,42,6675350.604173622
0092a,4,48,6677292.582455972
0092a,4,54,6679504.879098139
0092a,4,68,6676756.461367302
0092a,5,0,4290.0
0092a,5,6,34647.96474190292
0092a,5,18,1756170.335594064
0092a,5,24,5368471.444564707
0092a,5,30,7187226.968207475
0092a,5,42,7538729.696692953
0092a,5,48,7544099.382012857
0092a,5,54,7546129.063728447
0092a,5,68,7544316.483829701
0092a,6,0,4710.0
0092a,6,6,38150.914000138386
0092a,6,18,1876199.7069838857
0092a,6,24,5329316.429623652
0092a,6,30,6881455.477365344
0092a,6,42,7167478.128272407
0092a,6,48,7171990.751619552
0092a,6,54,7173635.762467314
0092a,6,68,7172051.193294755
0092a,7,0,4480.0
0092a,7,6,37994.835927296925
0092a,7,18,1996483.3959867666
0092a,7,24,5471730.11787693
0092a,7,30,6871870.582091273
0092a,7,42,7107913.800541738
0092a,7,48,7111126.400361973
0092a,7,54,7113221.913995865
0092a,7,68,7110847.962100803
0092a,8,0,4290.0
0092a,8,6,35374.9837333039
0092a,8,18,1757717.5420224813
0092a,8,24,4783362.273162847
0092a,8,30,6033026.10287717
0092a,8,42,6251995.41175949
0092a,8,48,6255412.210339116
0092a,8,54,6257000.982191897
0092a,8,68,6255402.674197161
0092a,9,0,4940.0
0092a,9,6,40326.04289400222
0092a,9,18,1969074.847835851
0092a,9,24,5370001.176287398
0092a,9,30,6796882.851103584
0092a,9,42,7051118.161099489
0092a,9,48,7055155.686960131
0092a,9,54,7056759.835863724
0092a,9,68,7055128.169305529
0092a,10,0,4710.0
0092a,10,6,35365.18639862203
0092a,10,18,1566303.4030657937
0092a,10,24,4780440.590972821
0092a,10,30,6560839.761656399
0092a,10,42,6948265.253255162
0092a,10,48,6954732.962303715
0092a,10,54,6955153.637040586
0092a,10,68,6954870.067622884
0092a,11,0,4670.0
0092a,11,6,35803.215542112506
0092a,11,18,1655122.3440353964
0092a,11,24,5104249.157561118
0092a,11,30,6991393.9909400605
0092a,11,42,7391165.104728044
0092a,11,48,7397745.252092414
0092a,11,54,7398732.096282032
0092a,11,68,7397936.083684929
0092a,12,0,4490.0
0092a,12,6,34970.329066886945
0092a,12,18,1657411.1677019186
0092a,12,24,5065527.145512366
0092a,12,30,6865642.319745132
0092a,12,42,7234945.767182167
0092a,12,48,7240944.413584385
0092a,12,54,7242200.768530507
0092a,12,68,7241135.917340906
0092a,13,0,4890.0
0092a,13,6,37734.9163188628
0092a,13,18,1731710.2514492394
0092a,13,24,5122304.196434313
0092a,13,30,6846950.180746605
0092a,13,42,7198687.6000256715
0092a,13,48,7204424.772803339
0092a,13,54,7205205.844207506
0092a,13,68,7204445.972262033
0092a,14,0,4530.0
0092a,14,6,35355.16677849673
0092a,14,18,1665589.9017457464
0092a,14,24,4983386.084422407
0092a,14,30,6674917.039583721
0092a,14,42,7016075.520348801
0092a,14,48,7021606.056317563
0092a,14,54,7022712.342473337
0092a,14,68,7021709.413462387
0092a,15,0,4590.0
0092a,15,6,38421.50010260948
0092a,15,18,1993057.4951826949
0092a,15,24,5580096.055850716
0092a,15,30,7094627.41846011
0092a,15,42,7357807.584378275
0092a,15,48,7361593.38450808
0092a,15,54,7363708.227099308
0092a,15,68,7361492.3884763885
0092a,16,0,4360.0
0092a,16,6,36778.334408260955
0092a,16,18,1906232.4085418992
0092a,16,24,5189039.092127542
0092a,16,30,6507705.656767759
0092a,16,42,6730999.762879716
0092a,16,48,6734185.549869924
0092a,16,54,6736158.701198479
0092a,16,68,6734041.696273682
0092a,17,0,4670.0
0092a,17,6,39870.73572217412
0092a,17,18,2103003.36433403
0092a,17,24,5674702.6228473615
0092a,17,30,7070802.649931909
0092a,17,42,7302130.054037286
0092a,17,48,7305187.503908368
0092a,17,54,7307364.397924384
0092a,17,68,7304806.169393014
0092a,18,0,4670.0
0092a,18,6,39474.05810102211
0092a,18,18,2054095.0997850709
0092a,18,24,5593305.332681424
0092a,18,30,7012004.106731242
0092a,18,42,7251554.895327861
0092a,18,48,7254927.440652168
0092a,18,54,7257063.364639751
0092a,18,68,7254737.416912465
0092a,19,0,4290.0
0092a,19,6,34158.88790132542
0092a,19,18,1646412.919299021
0092a,19,24,4784696.438899023
0092a,19,30,6276327.610393619
0092a,19,42,6562490.870873637
0092a,19,48,6567068.793998156
0092a,19,54,6568349.766241982
0092a,19,68,6567136.362672323
0092a,20,0,4940.0
0092a,20,6,43213.38102118817
0092a,20,18,2315143.4008640843
0092a,20,24,5937706.426515816
0092a,20,30,7218615.138952808
0092a,20,42,7419066.618845638
0092a,20,48,7421322.245600717
0092a,20,54,7423559.350204797
0092a,20,68,7420409.365333919
0092a,21,0,4820.0
0092a,21,6,38919.25959856414
0092a,21,18,1907161.3078226286
0092a,21,24,5441092.443066073
0092a,21,30,7046277.84751082
0092a,21,42,7344276.79205424
0092a,21,48,7348992.12411885
0092a,21,54,7350633.394442746
0092a,21,68,7349058.0735034775
0092a,22,0,5020.0
0092a,22,6,41821.468830414415
0092a,22,18,2051245.1449093746
0092a,22,24,5279153.151036744
0092a,22,30,6495838.421997396
0092a,22,42,6700225.429919516
0092a,22,48,6703463.408560814
0092a,22,54,6705202.948955967
0092a,22,68,6703366.641983872
0092a,23,0,4800.0
0092a,23,6,39475.887851052525
0092a,23,18,1956254.5465707486
0092a,23,24,5345303.2113617025
0092a,23,30,6757887.069250506
0092a,23,42,7006925.059823796
0092a,23,48,7010823.942133203
0092a,23,54,7012570.123589414
0092a,23,68,7010818.969285848
0092a,24,0,4980.0
0092a,24,6,36796.5055840039
0092a,24,18,1647470.4560360997
0092a,24,24,5529824.484215562
0092a,24,30,8094033.780289502
0092a,24,42,8711051.277964499
0092a,24,48,8721828.932748295
0092a,24,54,8723108.851625778
0092a,24,68,8722583.78992584
0092a,25,0,4670.0
0092a,25,6,39473.78209964695
0092a,25,18,2097003.3801468532
0092a,25,24,5935882.382157596
0092a,25,30,7562638.550877043
0092a,25,42,7842932.896973298
0092a,25,48,7846633.711351399
0092a,25,54,7848884.491210011
0092a,25,68,7846216.50268655
0092a,26,0,4360.0
0092a,26,6,34144.92198588689
0092a,26,18,1602924.8287439
0092a,26,24,4698318.346778654
0092a,26,30,6221208.093084136
0092a,26,42,6522808.670461341
0092a,26,48,6527687.9085451625
0092a,26,54,6528656.649844195
0092a,26,68,6527719.209452047
0092a,27,0,4660.0
0092a,27,6,37582.72048223029
0092a,27,18,1839772.1805687607
0092a,27,24,5260865.738869247
0092a,27,30,6822418.120637365
0092a,27,42,7113234.165862601
0092a,27,48,7117839.598128645
0092a,27,54,7119416.053275016
0092a,27,68,7117906.720054948
0092a,28,0,4590.0
0092a,28,6,36714.65688564091
0092a,28,18,1818558.9105377954
0092a,28,24,5497522.689939728
0092a,28,30,7341977.676164506
0092a,28,42,7701616.329656167
0092a,28,48,7707276.143600737
0092a,28,54,7709132.72999401
0092a,28,68,7707512.404888886
0092a,29,0,4660.0
0092a,29,6,37895.292907794006
0092a,29,18,1906675.2859285926
0092a,29,24,5586865.014408194
0092a,29,30,7310009.514837232
0092a,29,42,7631117.756843409
0092a,29,48,7636067.009593516
0092a,29,54,7638035.489523021
0092a,29,68,7636207.4890360525
0092a,30,0,4560.0
0092a,30,6,38535.36931094882
0092a,30,18,2064137.2250696374
0092a,30,24,5942770.059118209
0092a,30,30,7627761.936454078
0092a,30,42,7920918.060455211
0092a,30,48,7924666.5398769295
0092a,30,54,7926877.192786538
0092a,30,68,7924071.077854277
0092a,31,0,4670.0
0092a,31,6,39533.93820127852
0092a,31,18,2016725.3036154457
0092a,31,24,5276078.470462588
0092a,31,30,6508656.293558291
0092a,31,42,6712353.962079606
0092a,31,48,6715345.873197809
0092a,31,54,6717333.561105081
0092a,31,68,6715213.32915833
0092a,32,0,4890.0
0092a,32,6,37629.83717386025
0092a,32,18,1694616.896332126
0092a,32,24,4872683.113390125
0092a,32,30,6427358.932610723
0092a,32,42,6740348.3191672675
0092a,32,48,6745447.8849614365
0092a,32,54,6745927.469956111
0092a,32,68,6745353.693905332
0092a,33,0,4820.0
0092a,33,6,37902.969803860426
0092a,33,18,1806928.511115156
0092a,33,24,5383437.421644639
0092a,33,30,7177195.700065278
0092a,33,42,7533617.026270244
0092a,33,48,7539363.019752976
0092a,33,54,7540703.552265452
0092a,33,68,7539486.866533763
0092a,34,0,4290.0
0092a,34,6,32274.78703388605
0092a,34,18,1443066.3027084307
0092a,34,24,4462732.765168788
0092a,34,30,6165678.465026532
0092a,34,42,6538515.74208192
0092a,34,48,6544748.369151412
0092a,34,54,6545274.609490697
0092a,34,68,6544924.232797646
0092a,35,0,4670.0
0092a,35,6,38518.280696491056
0092a,35,18,1990094.2018486534
0092a,35,24,5834520.738770671
0092a,35,30,7603543.894408339
0092a,35,42,7926026.739746273
0092a,35,48,7930755.794970671
0092a,35,54,7932975.4085787805
0092a,35,68,7930775.110585409
0092a,36,0,4410.0
0092a,36,6,35527.32104809074
0092a,36,18,1762353.2860201057
0092a,36,24,5197774.146951569
0092a,36,30,6841872.112226138
0092a,36,42,7154078.574733085
0092a,36,48,7158974.027968541
0092a,36,54,7160693.097806795
0092a,36,68,7159128.509641439
0092a,37,0,4820.0
0092a,37,6,39918.60687398869
0092a,37,18,1966113.3527033306
0092a,37,24,5192121.653656931
0092a,37,30,6461996.353212753
0092a,37,42,6679815.6775668645
0092a,37,48,6683249.608177434
0092a,37,54,6684939.904766064
0092a,37,68,6683189.609681102
0092a,38,0,5120.0
0092a,38,6,39552.53299642116
0092a,38,18,1861384.45212668
0092a,38,24,5790705.797677549
0092a,38,30,7947659.032899562
0092a,38,42,8401563.789937127
0092a,38,48,8408996.942151697
0092a,38,54,8410409.954780567
0092a,38,68,8409283.075011997
0092a,39,0,4770.0
0092a,39,6,39115.34935736294
0092a,39,18,1970053.0336173454
0092a,39,24,5607994.55080993
0092a,39,30,7222870.170323932
0092a,39,42,7515078.507167575
0092a,39,48,7519566.764348848
0092a,39,54,7521528.7086928375
0092a,39,68,7519638.229007487
0092a,40,0,4820.0
0092a,40,6,38263.874969359174
0092a,40,18,1803546.207946173
0092a,40,24,5069590.32206005
0092a,40,30,6553040.880158241
0092a,40,42,6833657.799083748
0092a,40,48,6838181.744467498
0092a,40,54,6839257.191829532
0092a,40,68,6838120.4917897675
0092a,41,0,4660.0
0092a,41,6,38826.67692814497
0092a,41,18,1967947.3332742066
0092a,41,24,5362261.656670017
0092a,41,30,6748690.885082437
0092a,41,42,6987949.99887934
0092a,41,48,6991566.833292311
0092a,41,54,6993502.445366551
0092a,41,68,6991536.113006194
0092a,42,0,4830.0
0092a,42,6,38169.10319110865
0092a,42,18,1805032.6065059952
0092a,42,24,5191783.13986882
0092a,42,30,6792599.430654397
0092a,42,42,7101601.43980772
0092a,42,48,7106580.333442458
0092a,42,54,7107727.2274066955
0092a,42,68,7106580.519961828
0092a,43,0,5080.0
0092a,43,6,39082.869240236134
0092a,43,18,1772965.026801977
0092a,43,24,5179029.841409677
0092a,43,30,6885805.919344433
0092a,43,42,7232862.736051107
0092a,43,48,7238525.554577703
0092a,43,54,7239146.967176271
0092a,43,68,7238488.157149752
0092a,44,0,4940.0
0092a,44,6,42293.667947741604
0092a,44,18,2266464.8722916124
0092a,44,24,6235604.873151526
0092a,44,30,7824827.376358565
0092a,44,42,8089706.918969415
0092a,44,48,8092994.530802358
0092a,44,54,8095325.551279269
0092a,44,68,8092307.794921028
0092a,45,0,4770.0
0092a,45,6,38043.78757329681
0092a,45,18,1857821.0670488686
0092a,45,24,5511975.393659838
0092a,45,30,7299626.625757082
0092a,45,42,7645872.723102953
0092a,45,48,7651377.1264075935
0092a,45,54,7653040.9569184175
0092a,45,68,7651541.522548394
0092a,46,0,4770.0
0092a,46,6,39544.85885529754
0092a,46,18,2029956.3249641934
0092a,46,24,5765081.665354433
0092a,46,30,7394761.803970194
0092a,46,42,7684326.007419668
0092a,46,48,7688619.6666618595
0092a,46,54,7690764.13055914
0092a,46,68,7688620.960990636
0092a,47,0,5020.0
0092a,47,6,37568.28571583636
0092a,47,18,1635412.4498897123
0092a,47,24,4871286.4886143375
0092a,47,30,6605098.2761643175
0092a,47,42,6978129.512758014
0092a,47,48,6984340.909745793
0092a,47,54,6984532.984697033
0092a,47,68,6984388.140798333
