Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,4009705.3396285023,22260932.943812527,7664182.599042093,0.0,2563915.753638046,8459.634633878182,0.0,0.0
M1,0.0,5103077.724693527,21725799.933437906,5753643.525406266,0.0,1938773.1038132505,5173356.661969771,0.0,0.0
M2,0.0,4666706.855179097,20776106.66306001,5467906.659767117,0.0,2805265.4153572945,1892413.3192977926,0.0,0.0
M3,0.0,5473459.1102222465,21542651.06780858,4980859.33267198,0.0,2289945.4320971523,2887861.824302271,0.0,0.0
M4,0.0,5084821.107182938,25201286.427357327,769856.7176986635,0.0,2245381.2041553357,5261314.847622762,0.0,0.0
M5,0.0,3888541.9075052426,23835561.5114234,677850.3626406967,0.0,2482872.5502884234,4206262.047303558,0.0,0.0
M6,0.0,5473949.4217966385,25049383.49423219,177671.19895531732,0.0,1647923.5157365396,6000829.82385709,0.0,0.0
M7,0.0,5551298.096611836,18218351.54025848,538295.9662598115,0.0,2406045.713134075,5667876.156858797,0.0,0.0
M8,0.0,6009235.111421798,19819877.5179734,127355.14857625776,0.0,2259241.3904144536,7525068.313300141,0.0,0.0
M9,0.0,4852505.950295757,15214564.131107872,2450015.572236249,0.0,2146468.6752171554,7339684.961151097,0.0,0.0
M10,0.0,6288174.825200753,15529314.229198985,705885.4275667067,0.0,325031.4339765803,10670547.196480533,0.0,0.0
M11,0.0,5070732.249243795,23716165.136301983,6666573.537152134,0.0,2619177.3595673563,3505581.5375249297,0.0,0.0
M12,0.0,3725869.429769487,17630911.099471066,5969197.532112523,0.0,2533070.6934320666,2683071.3818125445,0.0,0.0
M13,0.0,6554242.238008561,18877625.15135123,87256.1310698796,0.0,2137355.9250856084,6503558.20383696,0.0,0.0
M14,0.0,5635039.461998829,25174878.980801873,0.0,0.0,980211.2216921011,9660498.334654339,0.0,0.0
M15,0.0,3513597.0749459793,17730384.420539893,9099846.516152969,0.0,2486752.340696394,922643.3145818067,0.0,0.0
M16,0.0,5910178.710878994,14221781.193346923,4538422.623912537,0.0,2105145.866955004,4197452.422680879,0.0,0.0
M17,0.0,5961500.888188341,20652417.392108027,3022636.9685117165,0.0,2403491.3912524874,4567738.084614018,0.0,0.0
M18,0.0,2743071.0861416957,23847972.543571386,6295446.248564409,0.0,2504676.307155934,3363644.721214693,0.0,0.0
M19,0.0,0.0,26666448.91913754,423496.2245463843,44.877327167676725,1844956.9868798708,7136633.15747772,0.0,0.0
M20,0.0,5482996.723844366,23064170.394731697,2185570.953534924,0.0,2135230.6938520195,5229031.825520537,0.0,0.0
M21,0.0,4684434.457815193,22280661.88473297,155350.00031713396,0.0,2471360.8307587164,4723294.920748199,0.0,0.0
M22,0.0,5497076.967550642,23911465.312356785,1522619.3121263825,0.0,2293639.555883997,4576285.790413232,0.0,0.0
M23,0.0,4348678.437937582,23754214.385212354,1271475.5418341924,0.0,2306975.144417896,6645235.783557343,0.0,0.0
M24,10.412686677497579,5464826.92744305,17558301.197176088,238816.07223178598,0.0,1403860.3245495993,7968936.733961567,0.0,0.0
M25,0.0,4205870.7882051915,13318692.269634146,9049215.29801664,0.0,2902745.3233826957,187019.97252750644,0.0,0.0
M26,0.0,5682951.931511691,14962598.688326802,4519836.711645062,0.0,2452481.0200795387,5076983.225145641,0.0,0.0
M27,0.0,2156139.2524808333,20486819.18587592,10426695.898802945,0.0,2178212.065410003,1123044.7354961787,0.0,0.0
M28,0.0,5552077.438861771,18606126.769392453,47889.772622332435,0.0,1812241.8003342494,6755781.013468874,0.0,0.0
M29,0.0,5058093.5379892755,23662921.928679746,145856.33676158063,0.0,1809086.4740511705,5458660.825836878,0.0,0.0
M30,0.0,3846378.9634691332,21454493.970710687,8189498.766776051,0.0,2440520.315687627,876493.2939371876,0.0,0.0
M31,0.0,4862267.915541724,21137851.000488173,3753877.655386147,0.0,2701364.5018276027,4526865.185206126,0.0,0.0
M32,0.0,6072012.518219732,21959047.18165808,17250.462446622616,0.0,1188683.2783205477,8560702.642486835,0.0,0.0
M33,0.0,5391129.980942337,25106727.211005062,155968.77682473426,0.0,1490177.183041187,8247319.066146902,0.0,0.0
M34,0.0,3016852.128104805,14676279.64963753,7797188.803485281,0.0,1849083.510984059,4362986.1671845075,0.0,0.0
M35,0.0,5957536.994383757,19520408.25562604,15300.43530864131,0.0,2072369.4657776023,7656902.516544523,0.0,0.0
M36,0.0,5819423.146487781,24097818.112601798,3010.413516976273,0.0,1652035.872367417,8096180.852916874,0.0,0.0
M37,0.0,3182565.720168214,21256702.326636046,6981551.811377044,0.0,2506332.336447688,3958555.5857343785,0.0,0.0
M38,0.0,5515000.42961858,16560274.275431044,1672820.7406992442,0.0,1901155.2611410797,5499173.544705777,0.0,0.0
M39,0.0,5203163.414208058,24061813.01975458,8013.433952223445,0.0,2521371.887405626,6745012.761286462,0.0,0.0
M40,0.0,5044519.60572183,19471222.746605024,5891684.652364737,0.0,2499574.981400519,2960313.6724823844,0.0,0.0
M41,6.93810942855277,5102945.247154608,15408115.117375268,7188798.922502386,0.0,2434269.8531687004,1781485.6153841647,0.0,0.0
M42,0.0,5194675.873290828,27187252.944257777,455466.56638016156,0.0,2371883.73725555,5293202.126332035,0.0,0.0
M43,0.0,3300184.7403730755,15745156.728876116,6487043.995223469,0.0,2665178.317518536,3814547.7715610364,0.0,0.0
M44,0.0,2725048.0992965554,21339290.884548258,8319058.289939942,0.0,2337958.8880601935,2039090.9721713648,0.0,0.0
M45,0.0,3625718.913110637,22580777.555937476,89901.44482909558,0.0,1870248.1555148184,5163977.230791604,0.0,0.0
M46,0.0,5806923.594840607,21026027.144101612,5731067.328576994,0.0,1983243.5783175668,3209660.865620124,0.0,0.0
M47,0.0,6124634.687497744,21342592.28839856,691258.2762557615,0.0,2310777.333367853,5603084.183822421,0.0,0.0
M48,0.0,6006622.370288264,22493772.92474076,763785.758377634,0.0,2259924.032771394,4767470.258369093,0.0,0.0
M49,0.0,5452210.773019673,21026548.885090224,707349.0280577933,0.0,1915434.7731489076,6240566.515906261,0.0,0.0
M50,0.0,6164814.514018933,17554358.600543648,555644.5583932118,0.0,2535452.8268671567,4531513.62692198,0.0,0.0
M51,0.0,3742675.4773318167,21460622.29444336,686391.0564582575,0.0,2117989.7635595324,6484960.76160395,0.0,0.0
M52,0.0,5435885.266044168,20782050.662254494,249473.5027198261,0.0,1967248.7635676435,6990753.177693476,0.0,0.0
M53,0.0,2894775.6829571165,22447985.818797298,34140.94607500664,0.0,1959844.5072260627,7291184.681805706,0.0,0.0
M54,0.0,5649820.28654009,14060467.421651307,658068.4055766194,0.0,1275816.0441550792,7978424.797230117,0.0,0.0
M55,0.0,5675572.157821391,21883381.361110106,948193.1186969937,0.0,1657128.081589187,8340472.291212189,0.0,0.0
M56,0.0,6427317.372385489,18408717.680709917,424393.8682148154,0.0,146211.39722224345,10180897.379728744,0.0,0.0
M57,0.0,3781426.240515573,26631554.43628177,267576.26805394364,0.0,2603110.9989713905,4266545.534170509,0.0,0.0
M58,0.0,4740987.594346295,22457097.407521795,1046875.2219841627,0.0,2416345.3458590517,5057255.809667815,0.0,0.0
M59,0.0,4691952.693326232,22257020.730784062,3059659.1173086455,0.0,1878705.2608769163,5511710.6142833,0.0,0.0
M60,0.0,3334581.6224819906,23021743.561456814,2250904.1158569213,0.0,2575142.0406213924,3329094.8968617152,0.0,0.0
M61,0.0,2325304.9239910007,18466430.466137283,9598865.121849328,0.0,2690623.936149196,4771.963356762131,0.0,0.0
M62,0.0,5852735.777654889,22776800.030068245,3341678.16273654,0.0,2023866.9053562016,4412557.310839235,0.0,0.0
M63,0.0,4932848.351837454,17844774.925516415,3668433.6460621622,0.0,1868030.0483914316,3959587.4594662054,0.0,0.0
M64,0.0,3952734.7054148717,13696465.100361196,6004010.572641603,0.0,2989453.2614524094,5854561.047233896,0.0,0.0
M65,0.0,5514496.670720702,18859659.329228643,869986.9073471301,0.0,1929991.5571665056,7531984.050124402,0.0,0.0
M66,0.0,5755256.044118809,14178170.968012879,2368685.9427804206,0.0,2682644.4523674804,5361996.297156328,0.0,0.0
M67,0.0,4503292.532599443,21175335.211247824,2815.362256605876,0.0,2389412.358984886,6502153.9249092005,0.0,0.0
M68,0.0,5586704.518388167,21230196.9206386,10880.485202449709,0.0,1818217.2747959609,7362450.295366578,0.0,0.0
M69,0.0,5360156.198874252,22837229.503350552,649586.6876535555,0.0,2206461.580527382,5266928.153762795,0.0,0.0
M70,9.618173737595633,4766623.08597723,17076030.358431544,6132733.141147196,0.0,1715782.0827318025,3241796.24760585,0.0,0.0
M71,0.0,4266638.24525542,20900182.52477732,256871.30649663587,0.0,2515203.713790425,6988621.7070783945,0.0,0.0
M72,0.0,4609912.570602693,20698502.141155478,6791007.136564572,0.0,2374520.707515132,1451861.2536523105,0.0,0.0
M73,0.0,5039612.809084211,15897870.176529089,2988533.4927679775,0.0,1523583.8452685068,6298432.933018612,0.0,0.0
M74,0.0,4493722.801635712,14081244.314196642,6551991.960097004,0.0,2194766.8113318793,4726261.126645404,0.0,0.0
M75,0.0,5584149.124717875,20416541.290855322,291111.9258332037,0.0,2533704.495829838,5261564.352602096,0.0,0.0
M76,0.0,0.0,23109297.10583902,1884041.6085314027,0.0,2113879.484809696,5174452.497194342,0.0,0.0
M77,0.0,4192770.45547596,17910358.10077369,10415930.04494533,0.0,2367443.345146981,727514.0188505013,0.0,0.0
M78,0.0,4825202.428928994,19339225.32865628,527257.1005559649,0.0,2047571.8365428532,6705068.600211276,0.0,0.0
M79,0.0,0.0,24941071.699635033,3777.687113651759,154949.49200667528,1064494.471774407,9249256.407968767,0.0,0.0
M80,0.0,4975147.8851316115,25609812.858266916,294962.80536832503,0.0,2353483.7274563783,6347978.7835311005,0.0,0.0
M81,0.0,5107346.981421699,22891984.230993442,1697778.7745099866,0.0,2156969.622587435,5337690.892796255,0.0,0.0
M82,0.0,3827957.8768423386,18069125.879488666,9127164.726319354,0.0,2737540.6005131374,983483.1657037829,0.0,0.0
M83,0.0,6189257.922883996,26520778.71632204,10111.149074897829,0.0,2399120.128135179,5693238.97761193,0.0,0.0
M84,0.0,6632268.587551803,16217871.35528915,389101.682217762,0.0,1661924.7300182222,7026724.475512271,0.0,0.0
M85,0.0,3174900.004247906,22964423.9503791,5258549.887773636,0.0,2040433.2409676774,4917387.482051078,0.0,0.0
M86,0.0,5159970.35950248,22491149.543266933,4366.528411861611,0.0,939689.9189015883,9212700.480739452,0.0,0.0
M87,0.0,5879961.1676339405,23712289.133163854,2255.756828605787,0.0,2260745.39489099,6211644.73622038,0.0,0.0
M88,0.0,4730286.962210176,19841288.313030057,2709474.5667316685,0.0,2856413.4776026383,4471932.526634429,0.0,0.0
M89,0.0,4471427.602818264,20357784.558829512,465.0025291509179,0.0,1759552.6174205747,7993370.0952285165,0.0,0.0
M90,0.0,6168504.928684151,20893936.280738853,1245094.2240653082,0.0,2416958.5573115894,4703494.876553395,0.0,0.0
M91,0.0,5554027.933598337,20928959.245504066,50215.61938819129,0.0,1288481.3832471247,8089926.6204068195,0.0,0.0
M92,0.0,3010533.2067430876,21911401.755727664,7309984.199946276,0.0,2027798.50868234,2606511.9959165826,0.0,0.0
M93,0.0,5734788.682886479,23643069.30581737,263.3386290898843,0.0,2298720.647386083,7253843.055353161,0.0,0.0
M94,0.0,3811276.2197873066,23140755.092504747,762412.0968376936,0.0,2599948.236079942,4524423.580925849,0.0,0.0
M95,607.8314907225524,5673786.826266494,17848587.87615699,4187149.482922654,0.0,1171995.1037892718,5321255.547802762,0.0,0.0
M96,0.0,5639118.718961327,19590817.219222687,438471.9277008701,0.0,2516981.8166329837,5362971.676118109,0.0,0.0
M97,0.0,2837455.9936231775,22301929.4055932,243426.14221518836,0.0,2828980.28403796,4473667.188173588,0.0,0.0
M98,0.0,4332237.22856749,16276757.27186377,938619.9743131225,6.928219553541171,2853268.6204283074,3711898.7344597224,0.0,0.0
M99,0.0,3751518.953121284,15522079.383263988,723496.4113900141,0.0,2362461.393972106,4649664.161850736,0.0,0.0
