Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0009153204272506336,3896160.577747254,22294954.294120222,8114325.521386128,3.140697139082129e-07,2528443.4518396533,0.0,4.2064679135261085e-06,2.1683907034452253e-13
M1,3.410904299875095e-19,4130853.3646913804,22345146.428879473,12034671.643444281,4.874313569681246e-07,2128035.8522975324,0.0,24.840178069831143,5.464415036378215e-07
M2,1.0908641397737187e-09,3615775.071842945,20990373.27075793,6974002.165052935,1.763993184186827e-06,2419290.8388831,0.0,1253906.2261239265,1.0912273061671756e-23
M3,1.7694318369461853e-21,4445281.4144704435,22916353.28118879,6798588.15536352,5.618023513548865e-07,2317966.1852785996,0.0,753784.2297461712,2.9000858676292802e-30
M4,0.0406087528922439,3155790.269034814,26307444.272370446,5912984.713840588,4.5867999620791674e-07,1346865.750365661,0.0,1443363.903305328,4.83977808862891e-21
M5,0.00011556282433493468,3981248.425651203,23080750.395940147,7953248.193012518,3.723138417363348e-07,2595269.5936582284,0.0,10.075760428268062,5.388027014385923e-23
M6,8.105739843343863e-09,3771561.718969199,26233033.55454751,210059.40511027255,6.80457644663295e-07,566608.7310572815,0.0,2731040.2206088067,1.1213648618358827e-21
M7,0.0073389836212399,4024951.7822029768,20453762.68694323,6279160.732877792,3.681717866947153e-07,2064313.9913952278,0.0,829179.2259299302,3.167637512881724e-17
M8,2.0474451467115578,3990259.1559126102,21237991.854077224,5448331.872667772,2.9856729562939157e-09,2061465.5175804722,0.0,884091.3227091396,4.0882818950784427e-13
M9,4.487174865161809e-15,2090568.633031858,16352428.7087828,7866034.268659792,7.124037532444267e-07,2529571.150048649,0.0,1029013.4517066973,9.153020477898304e-12
M10,9.80850344018276e-07,3910105.569849408,16498947.371380886,9932327.516925037,2.8998165083200204e-07,2585552.5461281324,0.0,3.171948141810707,1.4474378722493025e-09
M11,0.004845575950230872,4949381.622716722,24350470.149670966,8906304.133595664,9.24945176773761e-07,2744244.7999204053,0.0,2.392125009378376e-07,4.365365393848047e-15
M12,3.557312592823117e-16,2957049.7705707108,17514162.525442768,9258418.680271115,2.1675309512990655e-06,2525234.8369080373,0.0,0.003616341893380499,2.1099489504973906e-13
M13,8.831882780571294e-08,6518633.099626082,18498217.276380472,8253356.429923008,2.665589817366479e-07,2451088.5889702067,0.0,1942.1870632597902,1.4943177366669727e-19
M14,0.124410816494056,5433831.955544246,20936286.61552101,6407460.920342215,4.4468748124005863e-07,2896316.2451795414,0.0,74.65401269107898,7.167360288297325e-28
M15,2.2131344707547272e-08,3053193.837859061,18023580.681113727,8553175.022693124,6.542976235109401e-10,2304762.3972032494,0.0,716871.111745382,1.1178975377250648e-09
M16,5.3559331240226905e-12,4462717.693725199,13315647.09908075,10006422.407527378,5.58687751458717e-07,2294120.523016268,0.0,414791.74144932756,1.82062062208195e-05
M17,15.005453957240439,5566916.508668675,19219180.621848747,6588390.101559076,7.132898583451224e-07,1996130.1170243924,0.0,905658.3972721344,2.11452921416117e-28
M18,0.5655579585284283,2364985.7066106605,23241583.88599241,8709613.829704609,5.468937162059829e-07,2626658.3090861044,0.0,315997.4952448754,1.0816440032993907e-19
M19,3.5482848654640986e-07,3018435.519193313,20880189.36879224,6666472.712464051,1.6964078147855283e-06,1662523.8756368936,0.0,1364641.5623616665,3.442795688360888e-15
M20,93.017346498897,3741254.5646269144,23812593.28570785,4713825.701987161,6.444492237210832e-07,0.000815928914475905,0.0,2567795.546804985,6.432250902841311e-18
M21,2.596349908526805e-16,3619058.37909185,20067350.948524877,3964427.7123899763,8.284229644486973e-07,1537467.883622514,0.0,1501196.4917330132,6.300993855112628e-19
M22,1.3409052428716113e-17,4758333.153586123,24566417.343237117,7536472.367891484,2.601173769531473e-07,2393141.95418492,0.0,0.9176495231040455,1.3215599202240466e-14
M23,0.010165988303032884,1712640.1517634464,23580187.433919944,9073606.549410485,5.547613158386676e-07,2202088.676486656,0.0,9263.879634555573,2.1749564699350154e-13
M24,3.0791209915768725e-06,2934025.497980128,15800237.921729703,10710653.533957507,1.0090748210690572e-06,2303946.8875299883,0.0,2.467761002328116,3.8804945253484033e-07
M25,0.00020277243040886278,3607317.9887532904,13816984.667210136,8060513.526288805,1.0900873218130174e-06,2260217.8382639145,0.0,1002870.7887239866,3.451388236456966e-14
M26,5.561050136633627e-10,5368565.73248553,13932434.073334672,9730781.596438255,4.856625233496465e-07,2636110.4150880254,0.0,589.3176189554016,6.712689587906885e-16
M27,0.00029799555680389944,1332144.7582886512,21554786.152264435,11792599.936982606,4.232138099468144e-07,2111886.4539154526,0.0,581.397100077018,5.173661585829403e-14
M28,4.073414693068085,4803695.412392373,17621824.308411386,7660980.342999272,1.9861736874607509e-07,1923062.69836291,0.0,0.0649878549408554,2.2447824866944627e-11
M29,7.550138802464131e-21,5061109.785355424,24641384.24082933,349726.60479659005,1.355975272930569e-06,28707.659971334346,0.0,3156939.899558073,1.0112449264301991e-21
M30,6.248143541612094e-18,3155439.6172182257,22706766.934015453,9379037.077075098,2.7329994054391033e-07,2603525.066985301,0.0,10.587705692101009,2.9352840406736934e-16
M31,4.412701378923861e-22,2846851.9415158764,27243141.132752504,972103.9507698733,1.0248274726962635e-06,2.5315699090647284e-09,0.0,3190726.796184543,8.369510466805117e-21
M32,9.050985131259788e-15,6214463.1063172985,17956690.802814987,7622154.2259514695,1.9123039220777546e-06,2488643.280936181,0.0,15035.842887481384,9.978716580565347e-14
M33,0.004158248778129319,2870171.4369621472,22546586.761652812,10872154.936260736,1.3801718756926996e-06,2612207.9473972176,0.0,5.3711934817910216e-05,1.1991972798065514e-19
M34,3.3144667993309504e-05,2007037.9031121857,13520080.694964122,10256632.922497245,8.744408283993334e-07,1772693.2155880376,0.0,731905.554636374,0.00033981276506062324
M35,0.2190209220688066,3952279.116218252,20777477.29497291,4152464.1071473192,3.579681794224364e-07,1926807.240277465,0.0,1339940.6184062986,6.194449743836868e-15
M36,9.130844841415031e-06,5067290.536014119,19045763.760817286,7328163.353328703,4.216052466996968e-08,2471023.4696752974,0.0,3556.2500237349677,1.3011248448286082e-12
M37,0.08385916399115448,2492242.6656387667,22290372.570655018,9999776.519040996,7.961214274447179e-08,2512715.252484333,0.0,1851.357518539856,1.5567072338735774e-08
M38,0.009786885167092748,3760249.0862743547,18046289.145338375,4973349.482602499,3.133987932639308e-07,1743155.6856774683,0.0,1320717.7731515833,1.5179356653176163e-15
M39,1.4787376488036389e-08,3459945.8699157056,24750612.460715998,6629908.884324256,1.5553974396661462e-07,2778809.679228462,0.0,159300.62682917234,4.549511531393343e-13
M40,0.0002900387233316635,4228281.338189623,20603429.91663245,9725094.576658657,2.8396679054393626e-07,2598814.748423171,0.0,0.846655383210362,1.4703149569565283e-14
M41,6.5526684795031365,4432867.337421859,15057627.28454634,8620293.776180677,4.822525222245577e-07,2425449.6254115882,0.0,543011.225513209,3.19587500329009e-09
M42,7.809800178969473e-05,3653193.0084453407,22534288.749869466,9739508.936134826,7.619241787877321e-07,2466795.699331474,0.0,1249.3136211669644,4.261039812199364e-17
M43,0.026509712774460074,2669400.946053028,16426060.881129991,10277220.597743973,7.250291066471269e-09,2744543.7506849146,0.0,0.0001981440763256528,1.1920005289487381e-09
M44,1.0888683163029343e-05,1832919.0934258346,21745144.3588493,10257984.784314932,2.539568789297797e-07,2888420.327688038,0.0,58.6222543471241,2.253398607233479e-16
