Strain_1, Strain_2, Replicate, Time, CFU_strain_1, CFU_strain_2
163,0092a,29,6,5474.901090616635,4736.510776013696
163,0092a,29,18,525006.9092994126,333767.8682453681
163,0092a,29,24,3704690.187902951,2083551.7003552075
163,0092a,29,30,9369886.773903722,5298464.047738021
163,0092a,29,42,11114241.356706042,6698674.491629803
163,0092a,29,48,11115972.473689906,6731798.168668791
163,0092a,29,54,11111711.233972013,6737128.93010332
163,0092a,29,68,11109577.8235092,6738286.412876605
163,0092a,30,0,758.0,526.0
163,0092a,30,6,7641.540480292331,4378.244276200863
163,0092a,30,18,730362.2442287353,291625.22183466796
163,0092a,30,24,4728681.902466599,1869854.5400635134
163,0092a,30,30,10237191.387940733,5382526.190299136
163,0092a,30,42,11575163.823306039,7297757.350990953
163,0092a,30,48,11579555.442687733,7335409.362609391
163,0092a,30,54,11579763.49065818,7340901.369404345
163,0092a,30,68,11576541.86944539,7339476.054813488
163,0092a,31,0,542.0,554.0
163,0092a,31,6,5289.994446640297,4279.889268383004
163,0092a,31,18,485735.0781143669,246191.3058424366
163,0092a,31,24,3589533.7436386715,1507229.8585583407
163,0092a,31,30,10374226.172146147,4438957.826788523
163,0092a,31,42,13082335.935419962,6300013.540604565
163,0092a,31,48,13101982.641921699,6350414.467422936
163,0092a,31,54,13103213.059118968,6359039.605716464
163,0092a,31,68,13102171.947883997,6360369.147043807
163,0092a,32,0,638.0,355.0
163,0092a,32,6,6324.55820457693,3127.264666474347
163,0092a,32,18,593172.2211333732,233471.05752230197
163,0092a,32,24,4139190.3249588134,1566647.2025587168
163,0092a,32,30,10371206.009999959,4473213.313619959
163,0092a,32,42,12378224.437930737,5921491.077389366
163,0092a,32,48,12396718.15716341,5948590.932076405
163,0092a,32,54,12398077.846641999,5952084.751286008
163,0092a,32,68,12398321.673941338,5952839.437567828
163,0092a,33,0,483.0,635.0
163,0092a,33,6,4788.535826835983,5141.967013232645
163,0092a,33,18,454294.1515037674,322241.03430712025
163,0092a,33,24,3415103.2699325727,1959116.655753369
163,0092a,33,30,9956253.544928756,5214612.379177786
163,0092a,33,42,12630564.487336038,6774381.998935624
163,0092a,33,48,12659416.321501004,6802776.456345284
163,0092a,33,54,12663310.380952295,6807050.353329188
163,0092a,33,68,12661582.508711422,6806864.417132534
163,0092a,34,0,629.0,683.0
163,0092a,34,6,6051.761467179147,5685.196055569033
163,0092a,34,18,539120.9246222952,374508.3767686284
163,0092a,34,24,3894769.05774621,2260940.68279233
163,0092a,34,30,11049848.554031253,5676933.567581031
163,0092a,34,42,14010768.961942086,7105977.493094076
163,0092a,34,48,14048598.668832576,7129971.172630578
163,0092a,34,54,14051328.764702175,7132467.502650537
163,0092a,34,68,14052701.609352838,7133348.724662322
163,0092a,35,0,694.0,489.0
163,0092a,35,6,6443.860237683848,4094.010941749662
163,0092a,35,18,534675.3948511538,274680.79951649864
163,0092a,35,24,3759691.966550556,1726593.2413745336
163,0092a,35,30,10700615.038150044,4640401.887359527
163,0092a,35,42,13709567.536414513,5983578.826999361
163,0092a,35,48,13751556.681960503,6007663.68396934
163,0092a,35,54,13754631.667939387,6010158.365628792
163,0092a,35,68,13756284.436751192,6011108.419360414
163,0092a,36,0,835.0,416.0
163,0092a,36,6,8280.063406389612,3530.4695969912727
163,0092a,36,18,767476.3728167794,245880.42022639257
163,0092a,36,24,4979622.369740725,1655644.5570705105
163,0092a,36,30,11021901.777674472,5176165.495243043
163,0092a,36,42,12527054.722624019,7342526.115413935
163,0092a,36,48,12530281.329450648,7387839.204046522
163,0092a,36,54,12529821.693510586,7394172.58906248
163,0092a,36,68,12527227.783689886,7393331.5755218845
163,0092a,37,0,759.0,567.0
163,0092a,37,6,7140.5052769548765,4982.531282376168
163,0092a,37,18,603863.266960775,365405.2839924233
163,0092a,37,24,4100762.2832795433,2277970.6040464356
163,0092a,37,30,10657542.268596662,5590332.323997304
163,0092a,37,42,13131346.444865063,6839203.905910576
163,0092a,37,48,13160329.27920485,6856207.602791399
163,0092a,37,54,13164837.258445961,6858909.932964941
163,0092a,37,68,13159806.099781957,6856751.802409052
163,0092a,38,0,673.0,420.0
163,0092a,38,6,6372.160054038563,3428.897344277108
163,0092a,38,18,547676.2125041732,221332.08995314324
163,0092a,38,24,3819474.0300637227,1458410.1869907472
163,0092a,38,30,10246375.081489911,4649703.40959693
163,0092a,38,42,12476683.172293868,6820231.167524474
163,0092a,38,48,12478497.61853104,6875420.467261541
163,0092a,38,54,12476400.201434817,6884564.687540398
163,0092a,38,68,12474283.985567423,6885473.888106952
163,0092a,39,0,885.0,443.0
163,0092a,39,6,8216.4124020903,3893.355898585783
163,0092a,39,18,674989.0553383039,288408.8753386026
163,0092a,39,24,4468965.161343528,1902268.4077123075
163,0092a,39,30,11270189.686445396,5239748.622577621
163,0092a,39,42,13740189.548452692,6782858.8719139155
163,0092a,39,48,13768606.968399689,6807692.226464534
163,0092a,39,54,13772859.21885847,6811531.399712259
163,0092a,39,68,13768005.426965905,6809270.221778816
163,0092a,40,0,641.0,479.0
163,0092a,40,6,5816.709766618062,4008.5110742426414
163,0092a,40,18,462450.82578533277,269836.0568503919
163,0092a,40,24,3263758.1116347695,1739328.52068332
163,0092a,40,30,9807723.762404844,4949390.036204842
163,0092a,40,42,12993279.739839677,6563317.434908232
163,0092a,40,48,13035921.731019158,6590023.643987907
163,0092a,40,54,13041789.935127964,6593959.814115877
163,0092a,40,68,13038454.663081948,6592716.4036939405
163,0092a,41,0,679.0,630.0
163,0092a,41,6,6532.750930092277,5057.033177530158
163,0092a,41,18,581104.8992806519,310871.62300609075
163,0092a,41,24,4155844.624580476,1849277.1750312475
163,0092a,41,30,11493676.16697237,4722615.04743533
163,0092a,41,42,14401418.970550431,6035887.4047198845
163,0092a,41,48,14433428.591592161,6064333.251193145
163,0092a,41,54,14438219.740744885,6069679.394703027
163,0092a,41,68,14430885.544013796,6068047.726198048
163,0092a,42,0,536.0,619.0
163,0092a,42,6,5443.257124120821,5250.250906258245
163,0092a,42,18,535459.5335764315,359523.99082131893
163,0092a,42,24,3788918.1605760306,2203364.709324046
163,0092a,42,30,9405543.302378938,5536986.703797722
163,0092a,42,42,11168288.066886753,6966139.920730241
163,0092a,42,48,11184858.344360957,6993514.245510214
163,0092a,42,54,11186642.36800234,6997618.573480787
163,0092a,42,68,11185843.789534176,6997870.71474963
163,0092a,43,0,624.0,532.0
163,0092a,43,6,6185.794152221658,4524.199996805222
163,0092a,43,18,580613.275574551,310507.3756153863
163,0092a,43,24,4077763.3269406143,1873907.880774705
163,0092a,43,30,10372146.358699923,4529231.14665138
163,0092a,43,42,12502960.177072182,5572247.665079597
163,0092a,43,48,12524145.40585755,5590827.61661791
163,0092a,43,54,12527551.065718986,5594143.644219009
163,0092a,43,68,12522300.266212232,5592632.444826436
163,0092a,44,0,621.0,669.0
163,0092a,44,6,5884.372930942025,5421.447619802696
163,0092a,44,18,508507.47183513007,340129.8880079389
163,0092a,44,24,3633559.7524205144,2067104.2862794632
163,0092a,44,30,10317962.523471722,5496002.462878583
163,0092a,44,42,13119935.274243033,7134026.214448619
163,0092a,44,48,13156992.087724432,7165088.729247399
163,0092a,44,54,13159361.759893265,7168336.040007884
163,0092a,44,68,13160778.593924684,7169501.379424739
163,0092a,45,0,521.0,389.0
163,0092a,45,6,5013.084787744901,3238.2054952771086
163,0092a,45,18,450027.9121404407,217027.65211393777
163,0092a,45,24,3409376.8378904792,1435260.5053271684
163,0092a,45,30,10762281.61321692,4351484.839921754
163,0092a,45,42,14270358.113778539,6027546.641194693
163,0092a,45,48,14310926.642932564,6065934.5356034795
163,0092a,45,54,14315941.637611203,6072633.211588231
163,0092a,45,68,14313992.92095153,6073006.15700187
163,0092a,46,0,415.0,629.0
163,0092a,46,6,4403.68059874483,5406.65006937852
163,0092a,46,18,476810.222116616,378539.6629829722
163,0092a,46,24,3668134.194546527,2268143.0256362576
163,0092a,46,30,9988220.739715701,5232089.174520186
163,0092a,46,42,12160171.057263844,6207100.127429856
163,0092a,46,48,12182271.096863242,6221578.768767294
163,0092a,46,54,12183462.490988268,6223269.441860409
163,0092a,46,68,12183979.125784587,6223808.746257265
163,0092a,47,0,789.0,549.0
163,0092a,47,6,7471.402632219022,4593.970871425211
163,0092a,47,18,637639.8078822326,307623.4047923116
163,0092a,47,24,4255255.088402859,1925825.6951399655
163,0092a,47,30,10546375.486514693,5172565.506657804
163,0092a,47,42,12634043.079275297,6702292.44577021
163,0092a,47,48,12651001.782875415,6728865.383447638
163,0092a,47,54,12652334.22101559,6732345.539752826
163,0092a,47,68,12650559.737298558,6731922.439421061
163,0092a,48,0,822.0,537.0
163,0092a,48,6,8011.059370476652,4299.3158576529295
163,0092a,48,18,720484.894473356,265377.32688870723
163,0092a,48,24,4750982.832894367,1666235.2968489623
163,0092a,48,30,11072111.533264091,4932472.548034428
163,0092a,48,42,12940574.397820093,6969435.835284456
163,0092a,48,48,12954868.730875751,7019098.021444917
163,0092a,48,54,12955922.26909479,7026337.184031314
163,0092a,48,68,12954059.926056957,7026397.209454648
163,0092a,49,0,535.0,451.0
163,0092a,49,6,5067.015805981966,3653.214384965001
163,0092a,49,18,439310.23258675647,231857.28891630057
163,0092a,49,24,3228336.876226484,1505866.2284978079
163,0092a,49,30,9773047.224543476,4656835.17042481
163,0092a,49,42,12695112.353287982,6644537.624215919
163,0092a,49,48,12719732.187960662,6692372.987112684
163,0092a,49,54,12721695.11021103,6700396.991395486
163,0092a,49,68,12718285.20449595,6700172.538281963
177,0092a,0,0,688.0,456.0
177,0092a,0,6,4762.41474970925,3380.6621196252045
177,0092a,0,18,213592.39580930563,181915.16674778346
177,0092a,0,24,1056947.6755460917,1186395.7667601905
177,0092a,0,30,2391942.534492285,4666442.987944836
177,0092a,0,42,2814883.7516048946,8511954.688631998
177,0092a,0,48,2803076.4962453153,8627528.035848921
177,0092a,0,54,2798797.4899405288,8644013.812507372
177,0092a,0,68,2797210.8734150743,8645103.730176434
177,0092a,1,0,667.0,488.0
177,0092a,1,6,4640.778886250876,3617.8066299268257
177,0092a,1,18,210110.24769866304,194383.02430674376
177,0092a,1,24,1041645.7311763274,1257386.7039579954
177,0092a,1,30,2379526.4729366964,4808549.973825359
177,0092a,1,42,2926468.3482911377,8511471.455059607
177,0092a,1,48,2931037.5422745603,8618737.63899867
177,0092a,1,54,2931033.0464222785,8633980.908164926
177,0092a,1,68,2930660.740243359,8634648.443804758
177,0092a,2,0,788.0,502.0
177,0092a,2,6,5481.236273796901,3721.3027810505982
177,0092a,2,18,244832.75054213236,199097.61794050722
177,0092a,2,24,1149227.6584267304,1263811.3788136542
177,0092a,2,30,2382597.7014129176,4652839.578792368
177,0092a,2,42,2708569.366208291,8187180.484834082
177,0092a,2,48,2696125.6991347973,8305027.905967491
177,0092a,2,54,2691881.1591439634,8324060.7342022555
177,0092a,2,68,2690316.0184603776,8326300.675485566
177,0092a,3,0,786.0,303.0
177,0092a,3,6,5467.204148577421,2605.284768846152
177,0092a,3,18,244409.7345372675,187307.39594935227
177,0092a,3,24,1145967.798979307,1342053.454407989
177,0092a,3,30,2358146.482181838,4878305.544588655
177,0092a,3,42,2701423.691393045,7623503.027130645
177,0092a,3,48,2697339.3278584434,7685047.059684652
177,0092a,3,54,2695568.676390077,7693410.246177141
177,0092a,3,68,2695071.255184375,7695523.008236415
177,0092a,4,0,1040.0,424.0
177,0092a,4,6,7230.926872278205,3143.4607313806237
177,0092a,4,18,316030.67359255056,169309.26413823344
177,0092a,4,24,1373878.1879117708,1110970.7592355902
177,0092a,4,30,2606721.3501595436,4490822.855552684
177,0092a,4,42,2951624.158396363,8484403.674236823
177,0092a,4,48,2949011.598161121,8609295.810794892
177,0092a,4,54,2947719.9700061134,8627085.924643686
177,0092a,4,68,2947161.549754173,8628135.583362022
177,0092a,5,0,877.0,481.0
177,0092a,5,6,5977.745835630975,3729.7583834923125
177,0092a,5,18,255238.52372964929,218278.9554194219
177,0092a,5,24,1164182.6457109777,1433493.4622430983
177,0092a,5,30,2414353.5659759385,5108211.121159941
177,0092a,5,42,2911022.726393238,8204337.056571092
177,0092a,5,48,2919957.084127133,8278902.779983968
177,0092a,5,54,2921201.7900120737,8289353.510097977
177,0092a,5,68,2921151.5150285563,8289032.568783364
177,0092a,6,0,1093.0,357.0
177,0092a,6,6,7661.92397648197,2768.470428311998
177,0092a,6,18,334483.1100612027,163027.3334387227
177,0092a,6,24,1368956.105144897,1110253.7810842188
177,0092a,6,30,2343039.7627061713,4493570.227864195
177,0092a,6,42,2371490.240382935,8186546.3568930635
177,0092a,6,48,2343600.152337689,8290960.217182265
177,0092a,6,54,2335817.200174346,8305879.971260265
177,0092a,6,68,2333364.397653329,8307659.515188128
177,0092a,7,0,711.0,396.0
177,0092a,7,6,4789.0761232882,3070.9063158461013
177,0092a,7,18,203017.85434100014,180641.51871651132
177,0092a,7,24,980222.3663481572,1219809.02269609
177,0092a,7,30,2249274.3134026118,4741511.023275133
177,0092a,7,42,2847459.3394002514,8213974.754507319
177,0092a,7,48,2859389.3412905904,8304217.784608549
177,0092a,7,54,2861009.079285936,8316234.633604661
177,0092a,7,68,2860993.014368109,8315941.806830032
177,0092a,8,0,725.0,355.0
177,0092a,8,6,4943.08910775283,2632.025637279236
177,0092a,8,18,213785.01592253035,142124.29201220558
177,0092a,8,24,1021576.8179065683,946285.3270992584
177,0092a,8,30,2233105.62973122,4059477.7169869486
177,0092a,8,42,2580567.889405002,8359681.487680073
177,0092a,8,48,2564215.3456300623,8514119.845487352
177,0092a,8,54,2558738.385295776,8536854.44885694
177,0092a,8,68,2556871.2286029547,8539366.180824542
177,0092a,9,0,759.0,458.0
177,0092a,9,6,5276.65420227569,3792.0230104111297
177,0092a,9,18,235231.04464176466,250624.64816282113
177,0092a,9,24,1086486.397506575,1653406.829876048
177,0092a,9,30,2114203.7811880074,5205077.682910902
177,0092a,9,42,2222051.990629741,7517363.069129651
177,0092a,9,48,2195133.7083823467,7574687.24077217
177,0092a,9,54,2185493.238962008,7583749.554385832
177,0092a,9,68,2181553.5637608524,7586941.607592557
177,0092a,10,0,1011.0,419.0
177,0092a,10,6,7029.288406119634,3554.653234031567
177,0092a,10,18,307627.171531616,247250.8322710826
177,0092a,10,24,1336372.9847650565,1682206.8758019903
177,0092a,10,30,2504512.3656592495,5386514.984300981
177,0092a,10,42,2827106.6706734286,7671290.627893955
177,0092a,10,48,2828239.6487635425,7714505.388974645
