Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0004784856291330965,3896160.6108187432,22294954.29113476,8114325.410369814,3.734420512889523e-12,2528443.4612836647,5.987481131016999e-08,0.0,3.9110958853195355e-16
M1,2.6021249701423363e-19,4728126.76258164,21647244.47461726,7830029.503855673,7.024715038224628e-07,1849920.182210761,5068320.757360148,0.0,2.0349007936841863e-20
M2,7.765161401998715e-07,3713985.46280717,20472477.4905175,9863410.384099832,3.7840506263676453e-07,2737612.7445041095,7699.020184425255,0.0,3.338037089640454e-18
M3,4.972983916750043e-19,4608183.012950505,22627343.347269885,8077456.958649915,1.3123502145028186e-06,2323562.230073814,195398.4824149566,0.0,3.7160637509440283e-29
M4,2.884902563772908,3399070.944538071,25036676.933169615,9129019.722230429,8.458278993370716e-07,2198299.9654380353,405143.26774254866,0.0,3.5957232290601946e-23
M5,3.5778058722921107e-05,3981255.267316509,23080747.590919375,7953256.109963009,8.881339317762286e-07,2595279.251556989,2.7992714234179595e-08,0.0,2.251499857137697e-26
M6,1.0363777945962594e-06,3821156.7040232345,23038329.3406209,7960422.111762332,1.8734325671124203e-06,2557794.256144984,93036.62090298347,0.0,6.807966079126851e-23
M7,0.006009729625976715,4903702.0621844735,18779018.060721878,4033959.0301337414,1.138020545516779e-06,2327275.0769882803,5675300.981601411,0.0,1.9146051048260296e-18
M8,0.013737367140973275,4956515.9674561415,19163489.234902896,3316131.944258675,4.5564000288947203e-07,2220915.2600635123,7570135.181329631,0.0,4.3747689321116004e-10
M9,1.6918542302139758e-09,3698409.1874775155,15311479.663704745,5199710.521432294,3.7444450931706514e-07,2183639.658957968,7322626.679364729,0.0,2.227800712109288e-22
M10,0.00012354027728320144,4763847.515996862,16000907.436065177,6657656.026554735,6.675590621139919e-07,1487538.9421323277,5004162.209425168,0.0,1.4668391300842797e-13
M11,8.302647881038846e-05,5003417.834271704,23893268.801645145,7305729.172194005,1.0127455778531364e-06,2611213.510638594,3286236.8078629635,0.0,7.435548213001117e-27
M12,3.3939946650961235e-17,3053801.5547838137,17505425.092812266,8724676.139620462,2.939144523032316e-07,2509426.7276546746,794641.2692486062,0.0,7.680143322258357e-20
M13,4.6830172986766495e-08,6493055.806350845,18305921.323970214,4047420.260694091,1.0717017422205657e-06,2060927.6983348874,6053780.056445676,0.0,9.429801771546096e-33
M14,3.7312330901951234,5649042.920569746,25252875.24235121,290.4102619379419,5.081066596086841e-18,1053611.6825452656,9438963.36676675,0.0,6.451324093666593e-07
M15,4.8488652190238266e-08,3411810.234945812,17815771.838751182,10165498.210020304,4.568322467800684e-12,2649219.920188362,88.7768608635535,0.0,2.876320376534312e-16
M16,9.978362630378937e-11,4575106.218986871,12889602.810720792,10996565.879496014,2.0518884325355025e-07,2524904.991546608,56400.76093918102,0.0,1.4422537255922142e-08
M17,139.79721868942192,5959731.265464317,18816946.127308957,6264001.489730135,2.7711493491665633e-07,2411721.1878610197,3737940.0347311636,0.0,1.0796191424189913e-36
M18,0.26948039312673017,2537324.245037075,23124357.288322367,7790122.599081451,6.208055285237224e-07,2561319.2490456244,2678439.607564592,0.0,7.385676931694971e-24
M19,8.630038002247595e-05,4230972.290225502,19631598.069704246,5083301.681769525,4.810152253576613e-07,1739597.223901411,6529418.841229596,0.0,3.178178553245007e-24
M20,1.0495210421512506,5487387.370540731,21089953.381111044,6553720.079064328,4.088821375790871e-07,1903531.6685171516,4971096.460554529,0.0,2.4771614008485903e-22
M21,2.8525027598272263e-16,3905060.0873529413,19407838.542659994,4337810.794970515,4.60210385109311e-07,2354613.4440881726,4778994.027570247,0.0,8.004776238030846e-21
M22,1.6945221238068387e-16,4811305.2581496155,24404678.469994146,7051803.633451301,4.316350757994103e-07,2351381.2281019185,827522.4782281555,0.0,6.725422539156352e-20
M23,1.0896229712393322e-05,2357145.2581218034,23387011.11758841,7130996.875109008,1.1509927584511633e-06,2106284.8742793594,3299154.4418813777,0.0,5.942622653630774e-26
M24,9.734669835665812e-05,2934015.7913323706,15800232.71187186,10710672.301142994,4.554616534016296e-19,2303950.135813952,4.62743694686285e-09,0.0,1.9370625431001813e-12
M25,0.02594390963284989,3942343.962620308,12711951.932543043,9839339.423601693,1.03160463842718e-06,2896343.8285799525,0.0045502075405745935,0.0,1.4786144937659263e-15
M26,1.9175328177761248e-09,5361644.228481247,14338123.027266884,7029482.842345528,3.0974374202160595e-07,2456489.50736539,4458472.709285365,0.0,4.0697942401037364e-26
M27,0.0006845563656703163,1359292.75548393,21523764.111608893,11719471.197645787,3.4660023303056316e-07,2113066.8506672643,94437.25898832823,0.0,5.957159978651534e-14
M28,1.8514955473568015e-05,5330982.335877735,18045823.15729814,2585818.5746516394,5.233332597662711e-07,1626060.9307860364,6999944.964619833,0.0,1.0513286711829655e-25
M29,9.338426396614587e-18,4503405.042386635,24053472.79112962,6625309.917359378,1.3120221012218893e-06,2645663.205375795,71967.69808406496,0.0,1.5878978505994689e-24
M30,6.843856407965298e-17,3155438.359174559,22706753.622782353,9379056.165557306,2.775587400209404e-07,2603539.730143232,10.15121774201924,0.0,8.440688614538177e-18
M31,3.0124955062498958e-21,4251121.262162955,22027795.302710462,5771921.610371644,1.348215149695914e-06,2596816.6584585155,4270070.3246915685,0.0,2.5785681879293185e-27
M32,2.033539447709629e-13,6081348.227011357,20574803.284764297,1849101.3525750912,9.364585786179263e-15,1162247.2513676772,8575725.113131274,0.0,2.8056212396109413e-07
M33,0.01098931323528112,4249256.357550672,23526930.74112047,4949895.268668289,6.381185821111008e-07,1519103.7509226669,7734773.287599398,0.0,2.1116395182714506e-31
M34,0.00020997081468540225,2619451.5933305547,13651664.087088427,9238017.395096114,4.711690224959668e-11,1809635.4313813793,4057527.445445603,0.0,6.249773039232377e-17
M35,1.1878817111159585,4733577.364454775,19459860.399473194,4327779.441299307,3.251553360812085e-07,2258908.814654591,4710206.637974511,0.0,7.768978861245486e-19
M36,4.4898841146999414e-08,5709196.547200798,23534367.019419726,954076.0753346314,2.7417037294278835e-08,1731491.7796073265,7292972.984478737,0.0,5.596045604237847e-07
M37,1.635633229744832e-05,2864958.8482340304,21732036.92494565,7748946.873664998,4.876341657197738e-12,2463650.378596664,3751104.8958053733,0.0,2.2908709538829155e-09
M38,0.6088209350234857,4569298.990122657,17016850.229138453,5304775.474777761,2.6437958370453163e-07,1561489.2021509618,5869000.361745191,0.0,1.9108769198941252e-14
M39,7.707674841372078e-09,3954742.275533793,24533128.817752022,5256634.11331342,2.5759434669727404e-07,2779669.6837528436,1482571.9560835925,0.0,4.0178832689032355e-17
M40,0.00010645126891320963,4281424.778805169,20491741.298455052,9337934.077281466,1.0928025580595853e-06,2576196.245452331,544249.0024715299,0.0,2.8567250129858666e-19
M41,5903.194879078643,4507835.197471741,14555326.196927592,10142868.224521758,7.174979818371516e-07,2544503.783254628,156.26608211916698,0.0,4.059159908620855e-07
M42,5.454896405070656e-06,4146342.0732443873,24336704.536037933,5515462.309579125,2.391778711650586e-07,2302043.3619617214,5082634.762211789,0.0,6.329693855349185e-13
M43,0.002504807960954295,3017693.619323025,16092120.554676587,7562735.065494278,1.5443902703306192e-10,2637296.4886759063,3756465.063086942,0.0,1.0564329268420133e-13
M44,7.595753715875201e-05,1840742.406505122,21742260.726294793,10243129.045491625,1.3146544033107122e-06,2883107.0929346327,19535.581721215713,0.0,5.4386337901507214e-17
M45,3.376967102639046e-17,3800344.5828820467,20260575.746867415,8645316.532038968,2.391010514452387e-07,2405320.1087372955,1.5334255489580082,0.0,7.59229741563557e-15
M46,0.596874719194636,5831696.551982183,18982700.860483613,10019277.985935736,1.3506454891635074e-06,2433780.3401754806,283.1761847844515,0.0,1.4804353020599638e-19
M47,4.9351514983828485e-08,5534461.878567223,21358960.951052368,5036518.457947365,1.296241235204162e-06,2108033.2178395265,5923319.147243332,0.0,9.541956078569304e-30
M48,0.0006373529553095349,4534660.990704184,22634946.101279117,5018027.724955669,7.873471459288994e-07,2292903.789786152,2226978.0889859535,0.0,1.9693169779490425e-17
M49,8.925346746943386,5155803.670978381,20131020.005624264,3692954.999476583,5.595228976079333e-07,1804013.3723116543,6128228.075242334,0.0,2.9715588456285435e-19
M50,8.698929772662048e-13,4355952.310735045,14052706.028673999,8919476.17112597,3.604096130496411e-07,2649849.4950031396,38646.08212317737,0.0,4.3916892696266896e-16
M51,1.9844051855736497e-21,2696094.802044133,22004732.963523827,5620608.410538904,3.8278229465208186e-07,2122193.470279512,5490634.316894409,0.0,5.054820590408586e-22
M52,0.022441012891564395,5151110.348164217,20513135.531618755,4901477.505834606,2.1471059813477273e-07,1722757.6194268425,7082177.182301525,0.0,7.632169170384393e-11
M53,0.8949088465373912,1764778.936569022,22754131.0109866,3627652.1535607823,2.348192546466941e-06,1935332.580295324,6820417.590517609,0.0,2.237011909450343e-23
M54,0.034820157484725715,4688411.347687946,14237349.286303079,4230736.704747703,6.979774139313295e-07,1084591.4732324025,8341806.6877221195,0.0,1.979297025706374e-12
M55,1.6928147013708374e-05,5259412.783650693,19228977.343946055,4412004.12486813,1.4349870377821618e-06,1565416.4323792693,8540678.728713505,0.0,8.748968852830508e-28
M56,1.0798180928021846e-14,5601753.885691113,18895497.035581734,3460225.518329161,6.206722019195941e-07,340304.85555720207,8808322.550888183,0.0,6.0209205069274295e-16
M57,1.2985851651439953e-10,3385015.5531909987,26750709.01523197,3422743.242381284,4.2532944565709e-07,2454158.3478775737,4064726.409795901,0.0,3.428331326173687e-22
M58,5.803472630410829,3736742.66636146,23302876.54400272,3772321.2058662083,3.621040685506587e-07,2321269.827269721,5098198.796556534,0.0,7.619921428283958e-26
M59,0.0382236361248829,4135791.3132707733,21459550.087993383,5422316.313161804,7.768977027169424e-07,1880649.8588383382,5348755.930783979,0.0,9.072529870135416e-25
M60,0.12510850711969407,1908168.297513739,21896904.36342364,8525523.534966627,1.515030942202512e-08,2731884.2728376216,6.5090221850024955e-06,0.0,3.669375682418087e-20
M61,4.846899927293787e-06,2147566.1058260268,18533534.6475667,9783874.68437804,1.0436398358208112e-06,2681978.571382759,1.8735782248013848e-05,0.0,4.4583463449887694e-11
M62,7.21923089933374e-05,5180454.242589612,12638204.911816306,10885930.873855269,1.5174381610903505e-13,2069008.2999905988,0.6865357866794413,0.0,2.631569122981751e-13
M63,0.0023196797224258573,3862322.2496942175,18820671.923977207,8704369.264009396,7.765490509041786e-10,1831842.077864804,515231.8826988877,0.0,9.279114702392593e-17
M64,3.1762809734114394e-05,3965366.761060525,13285566.872866368,6910035.441916942,4.051097359503846e-07,2946453.6637168108,5920032.396072945,0.0,1.6952870903305642e-21
M65,1.2031980957932102,4382926.933745618,19283176.87454367,4324031.90136845,7.315984681348969e-07,1918680.669532738,7431176.509573476,0.0,5.235047134169044e-19
M66,2.1101880362737402e-06,5030265.088529878,13095800.679792995,10034204.785435714,1.6028887840604298e-06,3008087.6524027097,18209.00577287016,0.0,1.4180589264165957e-19
M67,0.1496316153418038,4107266.56225892,20569999.24123598,1601633.7238808863,7.539900723626094e-07,2368751.668668288,5777370.993203922,0.0,1.782872074736167e-21
M68,2.1779453999821107e-18,4959426.35001138,17652148.34989673,10201623.564599743,7.496805403245876e-07,2763268.147050221,6.71384609499981e-05,0.0,7.874483221982461e-25
M69,3.0039253846390524e-06,4291232.273697848,21602387.06914647,5011184.264862945,2.486821842453632e-07,2074026.3082499744,5596038.011981505,0.0,7.922328978242193e-30
M70,889.4065736697273,3282223.730333538,16536405.639013547,10957052.990117552,6.93773504106959e-07,2084621.112119078,16395.166066168822,0.0,1.7737863106588595e-09
M71,3.8747330870452603,2712607.2982654744,18906532.32537911,7881820.907562428,6.465388976924235e-07,2775477.257904744,1481040.6610716938,0.0,6.829595865203197e-20
M72,1.1113039757128433e-09,4372980.2499861345,20790048.042066045,8657095.361505697,3.782108291159349e-07,2542532.8360208613,1390.130107922006,0.0,6.3904102865019185e-25
M73,86.32308595670453,3818877.651714078,16436353.479299778,7938367.416596091,4.1066601553612454e-07,1796570.3252718544,2225022.378163964,0.0,1.0232173917051467e-10
M74,6.306071030450061,4089596.6635584827,14543691.18039873,7548519.2362827,3.591530859686373e-07,2164926.567111825,4633933.516178909,0.0,9.521736186759178e-14
M75,0.0049571983457684324,3434142.155052114,20865340.472326048,8120190.783920174,2.3053830290707805e-20,2707351.114084845,0.0007701526067262194,0.0,1.6391866565368113e-09
M76,6.920787898778075e-17,5180686.980560052,16731646.936132805,5252011.570534895,9.61520928000103e-07,1795386.9531321856,5582372.290490795,0.0,2.8818299320223247e-22
M77,8.615095057381027e-06,3890088.854940455,17917080.30990821,11729794.680325035,5.070942065477007e-07,2423369.1098365537,198.4743338595676,0.0,1.3338489711102366e-21
M78,9.925412425809413e-05,4358656.994361368,19697361.827540085,4225470.178071745,1.001103273198924e-13,2053715.1767013224,5745029.397414703,0.0,5.020016551593043e-09
M79,0.33080610814658507,4863661.337106155,20134415.386921074,5856789.215267723,6.775146726991217e-07,1919980.3290310286,3977225.3032754324,0.0,1.6436626938168726e-26
