Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0035174119413164838,4076346.782074803,0.0,11254078.466161238,0.0012181858830433534,2820027.5563540775,3.152688938342045e-07,3.3890981122798742e-09,566789.2409650825
M1,8.600416619136109e-05,5316613.040499925,0.0,10313501.390747372,1.8830841176888802e-11,2203608.223200091,4822282.142067914,0.2233164319444085,0.00040645824142584465
M2,5.946239003526662e-07,763.5264267270971,0.0,11368382.113968197,0.5709936761210268,2449351.081018766,0.0015307241102003833,1591814.9693733589,0.0003298272773255126
M3,1.632224316190636e-05,4137303.202702684,0.0,9727178.32337755,1.4659762441273049e-13,2357137.2251395034,1611.0845227171067,1143221.3299081717,1.0892831582514721e-16
M4,198687.2032965616,3221023.1191341626,0.0,11601972.757248158,6.994201052187469e-07,1259513.7375074124,9587.48811527487,1531289.2988202192,0.00026397578172074505
M5,1.4413812935062897,6922084.1290424345,0.0,12012469.929514466,5.841687012715302e-16,2690882.145201535,1.2482081042112186e-06,0.32316669891299105,0.01069018754824887
M6,0.026657903273727725,4173335.8507162887,0.0,2609319.216138281,5.452785626672758e-11,3762.945174248279,4143019.1364302547,2906585.439487247,9.977882044016042e-14
M7,0.000640995600012641,5202061.008351926,0.0,8704893.419130096,3.981559717243075e-07,2632322.117266077,5811616.162785575,105.12105666583365,4.959668400384774e-16
M8,4.170132475029066e-05,4536509.114708226,0.0,6678989.513619325,1.7090794448488737e-09,2336747.207015165,7712864.001487926,86280.59136881123,3.2840635859833842e-15
M9,1.6580707366925747e-10,3383248.629763669,0.0,7605310.735130292,8.573814038152146e-07,2421083.240351556,5954702.225489458,551366.5006338865,3.351882149036551e-11
M10,0.003536110327399811,3695764.6737898113,0.0,13138787.629858645,5.32441923313287e-15,2756264.233488785,200660.33399866428,2959.4559784313888,0.5871278325734075
M11,1.9150085651180848e-05,5589076.570056999,0.0,9087656.317648403,1.6318406566667143e-12,2943155.6878130008,3484688.849846971,3.771321302815492e-08,4.3481871731649384e-07
M12,0.007855603602941155,3275014.548880601,0.0,12568961.86921041,7.884083240390703e-07,2666877.938079217,21449.352727624024,6.6658190456131e-05,0.0026727649873892266
M13,0.0025007110871417553,6847985.937629371,0.0,7563113.067429582,2.2293643448517586e-06,2176412.926641111,5972544.401920877,12.1986484773769,9.725676444033217e-12
M14,1.2470843399476106,5132361.87122218,0.0,4576366.467184189,9.067537738268928e-10,942006.6074117045,8934219.604157407,590914.1102347713,4.8416713179973726e-18
M15,0.000492269601365745,5476658.607726759,0.0,10646769.48904508,0.0028923214382157595,2565692.8821578985,67.60430856397207,437828.52254766435,0.0011009034298825055
M16,0.48804841904467955,4472274.1108386405,0.0,12332485.296093153,2.3739039789791792e-07,2644171.169671414,2912.5224948505697,87102.95458515857,288155.5464457399
M17,23.77089252121231,6429061.153535796,0.0,9574945.364637712,7.452134826844578e-07,2706347.734677613,3281049.630643798,2846.31156243468,7.329325396738593e-21
M18,0.011414997324133345,5180881.656918749,0.0,9576251.422026597,2.3225598697161126e-07,2778486.1410547737,3724720.757339549,88526.72252941784,1.271516669785883e-07
M19,0.0055461665594549025,1.3184597480855745e-06,0.0,1443392.5198614197,17430985.487021748,1257.5570898944516,11446459.908153342,851357.8074161089,7.99801050619087e-34
M20,0.15167437828738928,4945500.365910996,0.0,3747014.29222965,1.6060481847473933e-06,31.92765934799498,8939416.165277606,1996491.3479479465,5.432315094664545e-15
M21,5.876009660892299e-06,3794586.884951215,0.0,6930420.4237671085,2.3415365310416348e-14,1312530.9993157703,3613253.8117802176,1782545.7152776686,1.3618192133410167e-15
M22,1.6639078687582713,4794724.929346687,0.0,11978944.215011865,3.8639151892851514e-07,2434021.9219717346,161201.35386069855,31446.242106435187,3938.7684442964164
M23,1.0237974775172412,2822974.184737985,0.0,11703548.124578033,9.009045545566496e-07,2137746.4767324026,1087583.9709200845,18.316203400086465,3.4900736472141687
M24,0.01953347247914145,5965601.271564255,0.0,27165.80327372039,1.1366131578111513e-09,0.41903770597035667,11339236.115741912,1771621.9083957763,1.126462945609741e-09
M25,0.037437775776415855,3398329.1001389916,0.0,8165985.609723656,5.032194803973106e-16,1733346.189618645,0.001251024055268882,1995019.149877621,2.402339177908046e-07
M26,1.310509868513421e-10,5733083.6298128525,0.0,9303160.002215344,3.9846744740189135e-07,2726957.1219460713,3978688.269285531,0.00013570482876794522,5.867191059864442e-16
M27,13.259307209667938,3239076.174326884,0.0,13721145.586579595,2.986979023296847e-07,2362745.32162817,7865.565754122307,11.135782952955648,10347.251894700998
M28,26.553561912299486,5341730.398438488,0.0,6997492.725105156,4.226534891525423e-07,1554591.0819243926,7529111.154638038,0.003561644288842451,2.6220046466520816e-13
M29,7.519849276477426e-08,4877268.591424976,0.0,358032.2101913756,1.6282982834874765e-07,1.2471646699391889e-08,6295980.631446846,3465760.4056269224,2.2604002187956282e-14
M30,8.895736985295175e-05,4865526.343362315,0.0,3111336.2846291373,4.1988738599357074e-17,4.887396731303521e-07,8467472.754506776,2067163.9659016053,4.1904979079054714e-14
M31,0.0003674345369283897,4404764.560062319,0.0,10864573.948675739,1.32405226876461e-06,2675100.674593244,3691593.940014697,0.12656965866900594,3.1899232743933745e-10
M32,0.04291572380661593,5938680.911016452,0.0,4251076.959780611,1.6257507476054798e-14,348577.1440688539,10934563.36381238,991905.3966025495,1.225597650929905e-15
M33,0.0005449517496400061,4198404.017849925,0.0,9198529.56372344,4.749103873082175e-07,1933133.1460576435,6951662.548372456,0.09689463321576401,1.574647484703041e-10
M34,9.230626550323876e-05,4183552.3774256874,0.0,7144379.591181671,1.2846069601326086e-16,1031780.0923175995,6134415.724409877,1144184.0135770952,1.1839792456728805e-09
M35,5.316069535187214e-05,2532051.1767923143,0.0,9740948.57687895,2.1516321053045954e-07,2022431.9194751757,460429.1479312158,1489458.7467995875,7.086556896190535e-09
M36,0.7444407283917982,5069840.808858352,0.0,12235203.75474645,4.68143071890207e-13,2650120.812134031,213.74987650056673,70298.87314298829,83.78781121997518
M37,1.540658852202583,5105789.609730799,0.0,9085365.646594351,1.9392493172966155e-09,2718494.5176938884,4335574.570043387,0.7509783090945507,4.989432022694098e-13
M38,0.2843415375332151,3713837.9018565123,0.0,8148956.558396102,1.1667310759591674e-06,1258350.7844355279,5276780.720894589,844468.8299596942,5.037083104276659e-06
M39,1.153734386174548e-13,3699906.413094522,0.0,9841718.893732429,2.2670955277265997e-17,2438173.667110073,0.00014178553349650258,1266850.899056037,6.110757655364493e-11
