Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,4073600.164455803,22275944.03903358,7336254.973990616,0.0,2581364.83205415,37010.07347523697,0.0,0.0
M1,0.0,5149094.761207201,21747135.14248619,5450529.353531903,0.0,1949053.024179253,5192329.013706504,1.5722132395350201,0.0
M2,0.0,4721504.726238152,21173660.960612155,3302401.5134850624,0.0,2658983.9150598785,1507159.6980541993,726584.0126377802,0.0
M3,0.0,5555691.462088507,21485827.924456514,4620871.537151776,0.0,2294836.5360182305,3069921.867311886,13178.809618965957,0.0
M4,0.0,5140224.513493669,25214656.721856885,444420.0625625743,0.0,2248632.4330589585,5409901.515035056,4.348466829165719,0.0
M5,0.0,3883183.1714462424,23842503.199567057,471135.96924710425,0.0,2474513.317009724,4453157.02132787,0.0,0.0
M6,0.0,3667451.350225642,25533178.539003346,0.0,0.0,2890.8522755148956,5514348.786300721,2456962.2874564906,0.0
M7,0.0,5581834.9848113675,18209746.632332765,333189.54736686486,0.0,2409288.6205828344,5669105.716160986,54.857735602738096,0.0
M8,0.0,6028614.196469014,19834724.647414166,61487.42488126087,0.0,2260143.4811093425,7524889.376699274,110.61280846305044,0.0
M9,0.0,4882872.407257192,15823158.905215047,1209045.3830697772,0.0,2042323.650951382,5992803.208705404,671579.0355824404,0.0
M10,0.0,5772989.549333497,15868514.744535502,130515.33640707094,0.0,150787.58319402795,9144888.707772061,947640.4680764653,0.0
M11,0.0,5071731.52235744,23716724.716189016,6654997.284110002,0.0,2619292.2174203363,3508347.5397831057,0.0,0.0
M12,0.0,3824736.210832379,17672466.162207678,5502870.109779165,0.0,2542103.9262090293,2883693.272853952,0.0,0.0
M13,0.0,6552477.826243795,18880358.85992021,112002.30908893944,0.0,2138569.9311671923,6482881.2606716,5815.206673554302,0.0
M14,0.0,5122443.32632164,25471199.00941335,0.0,0.0,509840.11935821705,8738913.39659405,872581.742369326,0.0
M15,0.0,3404869.884355318,17764456.048567854,6191892.326795489,0.0,1973452.3071172268,2682207.3330091774,484374.28390266956,0.0
M16,0.0,6096305.003616121,14421987.790035672,3503106.7946507037,0.0,2063044.2399445372,4700140.467351436,94.50510779678393,0.0
M17,0.0,5957212.427572588,21147573.53753305,1961025.487866298,0.0,2395359.3260422763,4743546.412132797,17150.316623797833,0.0
M18,0.0,2747250.4618982687,23884476.735943973,6233181.039348541,0.0,2502911.7391613885,3376404.672032783,2122.4327141212466,0.0
M19,0.0,5101407.066565043,20444381.450088583,1501071.2529495447,0.0,1880946.2665844378,6621764.4077096665,6941.54852484671,0.0
M20,0.0,5487393.615163849,23644568.11694502,508582.54355359566,0.0,2205575.055748369,5332513.466509175,6.055517700269652,0.0
M21,0.0,4695350.960157238,22349163.649942845,39755.604415303154,0.0,2454668.4411572786,4695681.774876811,29687.636247215538,0.0
M22,0.0,5571183.632156556,23925643.093937628,824499.8565334168,0.0,2296815.5793627184,4897200.532908008,0.0,0.0
M23,0.0,4432113.170784862,23795528.68892457,959362.4273036533,0.0,2318406.3258828023,6784268.606974289,0.0,0.0
M24,0.0,5335689.193143558,17221502.720538862,0.0,0.0,318.09552360686087,10727888.822174324,1531148.0694532613,0.0
M25,0.0,4302134.30180737,13538552.959928524,8690162.009261252,0.0,2903369.1184419836,320807.5418288775,197.06394282193654,0.0
