Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,3964008.364865832,22246562.29973869,7870173.891327042,0.0,2550503.3614377105,0.0,0.0,0.0
M1,0.0,4224524.939746931,22302050.87390078,11754975.844191171,0.0,2149898.3655317496,0.0,41.35601354507311,0.0
M2,0.0,4011361.1217286335,21071418.929933332,5959240.242254156,0.0,2503751.329944876,0.0,1145454.086564139,0.0
M3,0.0,4602934.41612466,22552243.698233105,6746494.477487567,0.0,2349620.8258869587,0.0,653939.0760397657,0.0
M4,0.0,3486811.406436352,25529274.496207334,7397917.440381096,0.0,1882256.116221327,0.0,606573.1086485169,0.0
M5,0.0,4005512.7567937355,23134323.626302853,7502561.843055138,0.0,2604809.4707269683,0.0,7.868051344141049,0.0
M6,0.0,3897851.547431343,26244650.711343244,702.2901769223726,0.0,663351.5944027894,0.0,2654209.5902862386,0.0
M7,0.0,4271991.518596924,19854637.29422637,6923627.466437131,0.0,2355240.203506528,0.0,404161.1191954784,0.0
M8,1.9446701033857354,4655764.046573853,21617181.701363802,3831992.3598337625,0.0,2088691.4914245217,0.0,861351.653115548,0.0
M9,0.0,2526509.023936499,15923919.213660982,7382136.007341367,0.0,2495647.2210834958,0.0,1061900.6167150007,0.0
M10,0.0,4076249.369392505,16452701.450747212,9592492.842418166,0.0,2593036.863373174,0.0,41.70856765970655,0.0
M11,0.0,4979758.187931462,24201519.25346941,8744309.410884894,0.0,2754285.564367386,0.0,0.0,0.0
M12,0.0,3110466.306485255,17505123.619885582,8970198.44466573,0.0,2541659.30010781,0.0,0.0,0.0
M13,0.0,6514698.664811558,18601443.026832525,7666797.651135162,0.0,2474187.478689083,0.0,39551.52040750614,0.0
M14,0.0,6041704.96061004,24437451.580288786,2402638.8025033767,0.0,2917988.010998489,0.0,820.2843074863056,0.0
M15,0.0,3203938.865028061,17942044.955174785,8961370.853517888,0.0,2450791.234366463,0.0,470501.3733241661,0.0
M16,0.0,4586981.489897026,13597448.530372066,9137041.139275745,0.0,2196470.7378493585,0.0,564779.8949658171,0.0
M17,0.0,5528229.699917318,20076422.647750903,5355138.608609183,0.0,1958150.8928544105,0.0,991361.4652751001,0.0
M18,0.0,2584325.3978766557,23292966.728636406,8702037.361305015,0.0,2711381.7420300054,0.0,142615.4383882585,0.0
M19,0.0,3202160.794351869,20141675.789231308,7042123.867822369,0.0,1859234.108905934,0.0,1071004.1472832952,0.0
M20,13.814461255286558,3747654.3471768075,25725191.64658813,489769.9478495562,0.0,0.824212138249296,0.0,2572066.264421347,0.0
