Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,4089404.0309407213,0.0,11567517.319356212,0.0,2845999.2547413018,0.0,0.0,332.28390401606947
M1,0.0,5521613.875291982,0.0,9330496.223429129,0.0,2247318.394945013,4900061.570732088,1.4248699329480474,0.0
M2,0.0,0.0,0.0,11006820.153851684,429625.8848685045,2475187.6299974886,37020.022026249455,1520240.4560224072,0.0
M3,0.0,4610596.152697123,0.0,9834564.878210105,0.0,2335068.8699655645,1128423.4023729223,521407.73704323,0.0
M4,0.0,4077647.4323132127,0.0,12477819.398807362,0.0,2317971.473925723,1423227.6944179742,22.53941722666785,0.0
M5,0.0,6927856.558721556,0.0,11857617.690764142,0.0,2695697.4128798703,0.006370987349626248,0.0,0.0
M6,0.0,4709440.508796401,0.0,1197.2642324738172,0.0,2517.8125133501085,5429057.050757144,3009509.288949927,0.0
M7,0.0,5433146.020314635,0.0,7767957.959561649,0.0,2654802.675451243,5799545.836819807,25.80998955810289,0.0
M8,0.0,5177486.139375893,0.0,5295419.923609477,0.0,2377884.2943414915,7771961.34487064,26078.702812994026,0.0
M9,0.0,4033189.110143147,0.0,6371460.464602814,0.0,2368795.873159758,5926079.592168682,598286.3457037959,0.0
M10,0.0,5106232.811270613,0.0,3713287.7536190064,0.0,482200.1601201903,6434156.2853326835,1539309.2002378486,0.0
M11,0.0,5632062.900416035,0.0,8610431.609352605,0.0,2942617.166559,3687440.1313466234,0.0,0.0
M12,0.0,3562511.0711940257,0.0,11588317.890129838,0.0,2665023.0003533387,928690.9379452476,0.0,0.0
M13,0.0,0.0,0.0,4631248.991226692,3112121.1978337592,2454400.334560317,6544588.171068795,8380.400219613386,0.0
M14,0.0,5566852.975097828,0.0,17134.624022707794,0.0,701325.9515885748,8560988.631339988,1102509.470544044,0.0
M15,0.0,5616088.57275277,0.0,10361935.749102836,2.1771263689215674,2550456.5097084455,626685.6318285225,237850.40135721577,0.0
M16,0.0,5226397.777079409,0.0,9569039.136387419,0.0,2465240.359905727,2238139.3675828213,356.32382487664654,0.0
M17,0.0,6443029.565042858,0.0,8669920.258102348,0.0,2706264.776045535,3718876.2735217097,1686.3565394945456,0.0
M18,0.0,5358545.873311386,0.0,8818723.424711417,0.0,2773071.7934050895,4324037.839651367,3602.4424487570236,0.0
M19,0.0,0.0,0.0,698.2126457390356,27120824.186534327,28.234702010481023,12626243.0254555,99065.61972483667,0.0
M20,0.0,6290486.589208357,0.0,7354542.159527729,0.0,2075518.3392029174,5530494.393713035,13348.591384217218,0.0
M21,0.0,3971208.3163649375,0.0,7408614.484826627,0.0,1783045.9152699257,4205887.352859265,1098891.6000259502,0.0
M22,0.0,5119522.544311969,0.0,9783646.462579696,0.0,2380048.1693432867,2391877.0059416825,32.93372528683544,0.0
M23,0.0,3815481.8060712204,0.0,9385945.473942585,0.0,2170428.0122812917,3196238.433112964,0.0,0.0
M24,0.0,5981617.264893569,0.0,19.404145051734645,0.0,22.64512118040901,11436720.762007073,1737698.7989448889,0.0
M25,0.0,3990017.824020221,0.0,10687121.784457788,0.0,2740334.539941225,4275.33012955134,450827.3351534195,0.0
M26,0.0,5891769.579594207,0.0,8226081.941170321,0.0,2721996.9884781935,4386216.417581074,0.0,0.0
M27,0.0,3613787.050164707,0.0,12819507.724555058,0.0,2397377.3511175043,656848.8042035002,3550.7363621021555,0.0
M28,0.0,5437476.82971149,0.0,6119165.672093382,0.0,1674383.339918878,7275600.31309852,0.0,0.0
M29,0.0,4883290.8514369745,0.0,83.37007958426818,0.0,0.0,6440978.215446673,3512744.0526462435,0.0
M30,0.0,6087429.260486265,0.0,5841.038767962068,0.0,0.0,10793885.59511248,1759874.9061265562,0.0
M31,0.0,4682541.749679535,0.0,10067093.655469479,0.0,2710148.2845211197,3884635.2116704723,0.0,0.0
M32,0.0,6172633.523065474,0.0,1085398.4352250732,0.0,640612.7515030662,10307784.05222644,826005.3617892195,0.0
M33,0.0,5376103.118163444,0.0,5039447.8573691435,0.0,1848484.01294161,7623314.4022557335,42190.8415358112,0.0
M34,0.0,4303149.41928445,0.0,9941380.730329072,0.0,1788488.5518446856,4545151.713562765,91308.77780183159,0.0
M35,0.0,4923982.026608291,0.0,4016031.4096855745,0.0,2090704.9097568032,5693593.2036029445,627363.9322275454,0.0
M36,0.0,5372136.8120277235,0.0,10283859.56573226,0.0,2486799.10934609,1323214.23258908,190695.0348291634,0.0
M37,0.0,5248427.081944203,0.0,8485110.361556653,0.0,2746403.9682167335,4487222.198345971,0.0,0.0
M38,0.0,4181632.6495711184,0.0,7731777.428904562,1.920962366089329,1486231.3013314027,5455147.653181268,527683.5544406603,0.0
M39,0.0,5002024.205543937,0.0,8698459.387220364,0.0,3006284.4188812496,1387629.4647584837,679.5030995948572,0.0
M40,0.0,4293047.315635154,0.0,12536892.640786812,0.0,2751442.4565675054,873437.8993506285,0.0,0.0
M41,0.0,4789204.089209548,0.0,8702617.938996093,0.0,2484229.1866541184,1114913.38548555,553076.9742846442,0.0
M42,0.0,4655343.321612929,0.0,9376127.894637603,0.0,2447513.7588801393,5193628.048100885,41.17679805662018,0.0
M43,0.0,4753913.236936381,0.0,7743339.590144455,0.0,2828443.808078458,3963292.872493176,5682.657206230156,0.0
M44,0.0,4850416.339128296,0.0,61426.33950558491,0.0,0.0,8105252.934847443,2156577.9668758814,0.0
M45,0.0,4575918.231399382,0.0,15330.137754864278,0.0,0.0,8324845.484034983,2057807.0941987422,0.0
M46,0.0,6348894.564977165,0.0,11372633.907622531,0.0,2530174.269087332,188596.02402753127,266174.4558619409,0.0
