Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0014903522050219553,4982384.054549444,21953448.5163759,28.213128476624814,6.190573529620914e-07,0.0,8923544.783963112,1323000.4325095448,1.4383664352806382e-23
M1,5.479320791194153e-18,4987569.918662246,21914584.525891945,2389106.5085119,3.514012061980427e-07,0.0,7306225.295310736,1324751.9331909714,4.6347980357008123e-26
M2,1.818164135632814e-08,4186041.048728307,21826657.127983734,19301.476731733113,1.1160528907443198e-06,0.0,3637108.4826986934,2832619.410635544,2.3399427202488157e-29
M3,7.181856172718235e-17,6025822.3819138305,21391428.076917455,74685.85443008872,6.152899470820067e-07,0.0,9832206.994972484,1037083.6028406686,1.1237818821162083e-35
M4,1.5707388498558818e-07,4047350.110461783,27215641.802732144,180.61213600407612,2.622492468072492e-07,0.0,8257447.678970129,1796018.851242732,1.2868628756602111e-11
M5,1.6905497701814049e-06,2953595.8533906736,24177416.649580006,1476.8210701131538,7.582475070366522e-07,0.0,8359184.125466616,1336270.8402802276,5.318512580799857e-27
M6,9.811186341375803e-10,3634593.8655465646,25598545.304566152,21.901518863726803,1.0331421568600581e-06,0.0,5444465.24032837,2476742.913528454,7.166074957552259e-17
M7,4.930998172650486e-05,4913438.19958384,19122181.651244003,1369.1683996191734,2.9999158146986606e-07,0.0,7261251.247522648,1667267.272771765,1.7272216703994043e-10
M8,20.344939444995948,5911835.368974166,19874884.79743027,34280.39593299683,3.9604946319704936e-07,0.0,11509035.578439103,460728.82128090377,2.2416533002551074e-13
M9,6.82913091066487e-08,4872826.328793096,16439089.341927478,665364.5884801036,9.433431245821915e-07,0.0,7146968.175642928,1991338.4607750103,1.0264984665348507e-19
M10,4.001803000023469e-07,5430686.418396911,16133385.750416303,62795.542846335324,9.901786370602894e-07,0.0,8485549.258112788,1411590.9629603308,2.5251113732108548e-20
M11,32.62692730545831,4803264.670860781,23900158.22989873,3517435.6863292214,1.6296970510050399e-06,0.0,9206032.33405217,772848.8186976815,1.7915965430546402e-37
M12,1.0155021032729641e-13,4809780.881151228,17769207.56890018,2211.2160753689764,1.70539048427975e-10,0.0,10660001.484489718,1021531.9742037976,7.333523334139925e-07
M13,1.497559497668173e-12,5783811.503207239,20500773.077659305,48.808168101610036,2.009582791557184e-06,0.0,7271032.706131631,1998963.5778847716,3.067845534358126e-46
M14,1.085681658272268e-05,4491248.769093287,25946775.30743503,0.011230079031047726,4.5916503462687944e-17,0.0,7402703.970341232,1910696.4938830065,5.050160316786465e-07
M15,1.4781067173168058e-08,3311826.001180759,17563699.140960403,1981641.0858552689,3.872762333816941e-18,0.0,7927416.84837266,1548186.9818277662,4.593345613717673e-07
M16,1.8598766605500392e-08,5992282.606268001,14803870.40563262,1756584.456700154,3.4032311109499004e-12,0.0,9066431.300443022,530921.7328782962,2.9648999388706594e-14
M17,0.00034737382089687234,4906246.873675899,22326178.690134857,2173.269866596086,6.282764173610162e-07,0.0,4774696.070726157,2393179.25231795,5.899488004249321e-26
M18,9.126280017028684,1999918.0852849646,24896342.01794928,2869832.441635836,3.30825159423854e-07,0.0,7475209.039697482,1244481.3053223118,2.8310503721407233e-08
M19,1.5942129885331389e-07,5247692.397698136,22468332.486846175,10706.796247090813,5.466288473962536e-07,0.0,10617742.81991465,925464.1390022549,1.8466886070692213e-12
M20,16.851761521313893,4568138.510785391,24128247.503110413,106036.99354607445,7.309232586337005e-07,0.0,9173451.827607267,1291942.7451191784,3.933892651356419e-32
M21,1.772830046241962e-19,4499588.621348812,22385188.310320932,23.46070084128914,8.518636231670147e-07,0.0,5222665.725382215,2145374.41340687,3.0228231284272654e-19
M22,3.0775650077269778e-12,4669060.47396568,24598527.000426263,35919.65232920144,8.574969378855289e-09,0.0,7175388.875148657,1419293.214398658,2.426277337642738e-07
M23,0.001235179037472727,3720358.5334866974,23845953.09337301,2067927.0009345373,1.374258407238725e-06,0.0,8541003.492591146,921198.5497302503,2.899603201178596e-24
M24,0.0010968289582522104,5319490.038122006,17269612.99906293,85.05983826490414,3.5327936786297726e-13,0.0,10676967.868872942,1560105.4300210695,3.3393514270914984e-07
M25,0.00021705253024138896,4104062.364194114,16167717.189915247,2618925.6809640196,9.984061250108091e-07,0.0,4561467.037228398,2085451.8215054146,8.355973343847829e-23
M26,0.4086925030034522,5367693.031231579,15940317.91436684,670955.68065029,1.6980026899846049e-07,0.0,10540006.683924472,564286.2439014915,3.0446935767994823e-18
M27,2.8532510715590807e-05,2776292.2794017773,20461234.32491717,3974140.332436673,9.005963349775075e-07,0.0,3521117.2861640863,2153520.7227719068,1.2513105606393847e-22
M28,2.63753672230092e-10,5262961.151042923,18411616.840282835,5.911770229885063,6.015612457232192e-07,0.0,9795770.746025609,1272909.2304122953,1.395666709903937e-32
M29,2.756011407390431e-27,4581714.0821345495,23637939.78807281,0.5980842554609195,1.319454070695959e-06,0.0,5592600.16760926,3053991.0732423803,1.1258249687198584e-37
M30,1.5470343428449493e-18,5464885.472950035,18287406.587444965,981277.7148858666,8.155903178969678e-07,0.0,9877562.62536769,1350719.3663889496,1.2529371184142543e-35
M31,6.56940759128143e-23,3689369.675645999,25312441.961211935,1161.5092759448464,7.772376300174754e-07,0.0,5749487.355345398,2381809.7183512007,1.276223241106552e-16
M32,2.6242222521112547e-14,5500476.059202272,21758357.343310308,138.7454238498488,5.488626265458066e-12,0.0,11776153.689513486,610875.9912914783,3.430429726918639e-07
M33,2.9770378915619162e-05,4391344.395021389,25494329.748279966,3577.582811664883,1.8990556294920444e-06,0.0,9671314.650169682,1489282.1173368995,7.681223836471007e-36
M34,1.9411434637423117e-07,2964403.1524570673,18465498.044456348,15405.06602106176,0.0013092374062575953,0.0,9097946.889719317,2047405.5736581157,4.6606347755246013e-07
M35,0.00028158473346395383,4910480.760281035,21135475.070815273,4.932432033753221,2.6588766579833372e-08,0.0,9131245.252160024,1698302.9922399838,5.950659663977536e-07
M36,1.0954026370773525e-08,5176528.048292313,25084534.57099866,5.275989188777565,8.598025549372226e-14,0.0,8947545.926592669,1150529.1582279787,5.815954859428198e-07
