Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,4965893.256622398,22292817.74089458,0.0,0.0,2735187.058785663,3652105.277571967,0.0,0.0
M1,0.0,5839559.587605792,22084983.325645383,0.0,0.0,2100878.062673493,5512078.785775483,1.6087967586586398,0.0
M2,0.0,5336454.609716071,21447999.060326315,0.0,0.0,2748062.0402810485,2503399.250977066,604627.85326375,0.0
M3,0.0,6574199.523516422,20949554.308595598,0.0,0.0,2372881.6682129316,5260551.096844436,3573.4283394822032,0.0
M4,0.0,5214840.654193624,25232047.337446265,0.0,0.0,2252998.5632653777,5611097.167031179,4.1316879124376245,0.0
M5,0.0,3870570.885273912,23856693.44806483,0.0,0.0,2454748.6931123897,5036632.47121122,0.0,0.0
M6,0.0,3666828.5924748066,25533273.785920504,0.0,0.0,2257.89533895651,5514860.56062031,2457600.8049638662,0.0
M7,0.0,5630491.758068523,18196498.5109955,0.0,0.0,2414445.4525034074,5671125.770837183,51.185333123467046,0.0
M8,0.0,6046148.995415839,19847488.900570277,0.0,0.0,2260853.2479003794,7524320.623197722,113.97021830260356,0.0
M9,0.0,5240455.121326635,15971835.74693185,0.0,0.0,2034688.2424674947,5979520.875841664,683608.8032067969,0.0
M10,0.0,5753618.7143616825,15896342.482827596,0.0,0.0,127848.55566537562,9084267.665574053,1015495.8293800157,0.0
M11,0.0,5502074.384886054,24158894.747175045,0.0,0.0,2702506.233997939,4233050.889122355,0.0,0.0
M12,0.0,4798506.977265462,18136517.630830266,0.0,0.0,2650817.168219312,4744374.107000349,0.0,0.0
M13,0.0,6554281.964140737,18895784.3287384,0.0,0.0,2140341.8823194285,6495737.323485713,5011.810650014996,0.0
M14,0.0,4993666.441468374,25547645.213919066,0.0,0.0,393246.0392952995,8508708.485985024,1087778.265999369,0.0
M15,0.0,3590445.8969202745,17769344.894202102,0.0,0.0,1589984.3055459692,6630835.553795722,381989.6422375683,0.0
M16,0.0,6682090.593205878,15034596.511433532,0.0,0.0,1945403.2966419293,6277436.319131045,67.58362229741051,0.0
M17,0.0,5966514.743755363,21960734.16477941,0.0,0.0,2400086.900548695,5058824.811889437,18767.717039700812,0.0
M18,0.0,3242514.017479987,26578895.00396177,0.0,0.0,2483570.4399381615,4283520.294401117,1245.1649223163251,0.0
M19,0.0,5391337.554764769,20799950.902635783,0.0,0.0,1924915.5443938111,6684040.5282693375,7857.47354487103,0.0
M20,0.0,5489282.554859166,23808895.344544757,0.0,0.0,2225835.350642348,5363736.024381542,4.6615160273084335,0.0
M21,0.0,4701946.947099358,22372565.96319087,0.0,0.0,2455877.98659061,4695864.334147889,29349.180790946153,0.0
M22,0.0,5655928.294791189,23945367.251269236,0.0,0.0,2300998.386527519,5264811.2937379135,0.0,0.0
M23,0.0,4682914.724080038,23921486.398178414,0.0,0.0,2353017.585178247,7202277.191102809,0.0,0.0
M24,0.0,5335733.088111203,17221522.71268885,0.0,0.0,391.0439628029506,10727858.233816745,1530985.7228848112,0.0
M25,0.0,6005332.260955477,16885303.61985372,0.0,0.0,2900677.492721997,4811067.640713863,3.416028055070032,0.0
M26,0.0,6152699.398777806,15925005.410121588,0.0,0.0,2466595.464722146,5760576.589129711,0.0,0.0
M27,0.0,4666642.399004745,19024611.989475586,0.0,0.0,2519707.550967307,3957689.266545938,229590.67718355916,0.0
M28,0.0,5555783.323769228,18615964.24067164,0.0,0.0,1815077.5909977697,6752757.624785673,0.0,0.0
M29,0.0,4579332.008829186,23591481.86252798,0.0,0.0,0.0,5607607.060564552,3055188.568069775,0.0
M30,0.0,5830200.191659292,17625704.878457647,0.0,0.0,1.1678705312825133,10569744.865865825,1298053.6519978328,0.0
M31,0.0,5631204.083275566,20962697.594931655,0.0,0.0,2847583.0615381408,4884499.862899212,0.0,0.0
M32,0.0,5964650.286601757,21943012.0137141,0.0,0.0,1049157.9995121828,8913890.576533783,116571.70813894147,0.0
M33,0.0,5180431.242930145,25236507.156573415,0.0,0.0,1199383.7045947528,8415460.851976128,353522.2906772091,0.0
M34,0.0,4333553.34486492,18430945.80841701,0.0,0.0,2073622.09330628,5264274.3646126045,29710.924802323727,0.0
M35,0.0,5745155.652555754,19749237.42635306,0.0,0.0,1916565.4025084875,7434447.586876119,340136.42390622804,0.0
M36,0.0,5819908.502946061,24101720.614033837,0.0,0.0,1652433.8206246132,8094959.86733356,925.3061559109957,0.0
M37,0.0,4198699.993977161,21041155.425038435,0.0,0.0,2759541.2680593356,4796279.430066611,1.4756013189111274,0.0
M38,0.0,5495582.58483375,16767077.119965749,0.0,0.0,1847150.006933591,4675519.544727382,541543.2569593873,0.0
M39,0.0,5204872.623031027,24061297.07721679,0.0,0.0,2520986.688123972,6753189.1385441115,0.0,0.0
M40,0.0,6143345.081098797,18873751.17987177,0.0,0.0,2469297.1802529725,5237824.7139351815,0.0,0.0
M41,0.0,5777614.737621405,16986981.945849597,0.0,0.0,2117990.069527,5418506.060620604,632799.4539980516,0.0
M42,0.0,5275504.778383731,27398959.872212145,0.0,0.0,2377943.1349894707,5309174.959011251,0.0,0.0
M43,0.0,3982636.246073765,15789995.942327276,0.0,0.0,2738887.9444389516,3965103.931107121,51718.87363887491,0.0
M44,0.0,4259259.325149813,21926737.261983093,0.0,0.0,2.6526241101698527,8010448.056176882,1561052.79707387,0.0
M45,0.0,3026167.751151014,22929238.367473606,0.0,0.0,26.044851072709108,7376462.574716334,1774055.0694451893,0.0
M46,0.0,5757917.860600057,22978585.21543489,0.0,0.0,1546721.7629320459,7111202.013642219,61796.66116446331,0.0
M47,0.0,6071378.1891607875,21506970.679550827,0.0,0.0,2241001.029809192,5604372.778320029,150694.00911059984,0.0
M48,0.0,6235039.674312045,22532816.035676785,0.0,0.0,2257995.9047780638,5106654.581834344,1195.2286344348377,0.0
M49,0.0,5457917.147614566,21242898.91390862,0.0,0.0,1870406.4770555338,6223925.928976352,150052.00757483704,0.0
M50,0.0,6262714.757027164,17762648.482465617,0.0,0.0,2528781.7106353133,4788027.657236085,14168.881391845604,0.0
M51,0.0,3831861.443522271,21478126.538704928,0.0,0.0,2114617.399548217,6495914.060878498,44161.29112664856,0.0
M52,0.0,5434615.419798106,20812146.6572845,0.0,0.0,1981027.1626383024,6878629.450587829,47719.976864536875,0.0
M53,0.0,2899148.686027917,22451789.344483558,0.0,0.0,1950054.150143748,7269079.764791815,22674.255761035918,0.0
M54,0.0,4594824.211821051,14563886.88297512,0.0,0.0,47847.164454740196,7850674.727698616,2152408.451846447,0.0
M55,0.0,5774725.997726942,22455063.18196721,0.0,0.0,1675997.8198550253,8316711.342307618,1.6443890769776714,0.0
M56,0.0,5234286.658785213,20325174.693251383,0.0,0.0,26274.49149696937,6495924.706876472,1741804.117660567,0.0
M57,0.0,3676146.26528625,26869968.94297229,0.0,0.0,2468412.61045233,3958253.152569071,298855.11846380227,0.0
M58,0.0,5050628.098060372,22309298.7103888,0.0,0.0,2444261.6377808754,5051090.748008589,0.0,0.0
M59,0.0,5107621.094328667,23174740.991254054,0.0,0.0,1738959.1361614885,5436813.128521623,343726.3362272463,0.0
M60,0.0,3673114.5066023166,23252635.587061785,0.0,0.0,2446141.1841929955,5557266.560310339,699.9252210248677,0.0
M61,0.0,3344707.4940258586,18662369.02369219,0.0,0.0,2760082.545836067,3970847.0450418973,479490.2989211089,0.0
M62,0.0,6107438.780305077,25896646.991134126,0.0,0.0,2001386.1314150027,6928588.862933664,0.0,0.0
M63,0.0,5548085.319937306,17601560.63871197,0.0,0.0,1907195.7744315076,5700658.451498779,46810.943029068236,0.0
M64,0.0,3914275.220455208,15509104.504641343,0.0,0.0,3185557.6213103686,5763072.38450877,0.0,0.0
M65,0.0,0.0,21966275.586045224,0.0,6830223.994841806,1938822.3682421243,6994704.946984555,301.47118701335546,0.0
M66,0.0,5949417.937571824,14475655.850419486,0.0,0.0,2617416.562137,6786145.381965581,3.508517122548717,0.0
M67,0.0,4504081.832306441,21177024.320363205,0.0,0.0,2389537.7758271717,6503571.274863539,1.5398779164602274,0.0
M68,0.0,5555361.939653984,21312957.57367444,0.0,0.0,1866437.4572322583,6924398.536077925,117072.78936571926,0.0
M69,0.0,5494393.027322423,22996227.17327656,0.0,0.0,2222597.3401372177,5241140.64603823,0.0,0.0
M70,0.0,5793670.155522438,17915168.03152694,0.0,0.0,4146.577907014592,8290499.319650772,1891237.1230309154,0.0
M71,0.0,4309864.874523887,20964863.687882885,0.0,0.0,2510033.9051866955,7134921.4022576455,0.0,0.0
